vaccine,dose,geography_type,geography,birth_year_birth_cohort,dimension_type,dimension,estimate_percent,x95_percent_ci_percent,sample_size,year
DTaP,≥4 Doses,States/Local Areas,Alabama,2018,Age,24 Months,79.2,70.4 to 86.9,232,2020
DTaP,≥4 Doses,States/Local Areas,Alabama,2019,Age,24 Months,80.6,73.7 to 86.7,227,2021
DTaP,≥4 Doses,States/Local Areas,Alabama,2020,Age,24 Months,78.1,70.1 to 85.2,240,2022
DTaP,≥4 Doses,States/Local Areas,Alabama,2021,Age,24 Months,79.7,72.9 to 85.8,270,2023
DTaP,≥4 Doses,States/Local Areas,Alabama,2022,Age,24 Months,78.3,69.2 to 86.2,184,2024
DTaP,≥4 Doses,States/Local Areas,Alaska,2018,Age,24 Months,76.9,70.6 to 82.7,275,2020
DTaP,≥4 Doses,States/Local Areas,Alaska,2019,Age,24 Months,75.5,68.7 to 81.9,287,2021
DTaP,≥4 Doses,States/Local Areas,Alaska,2020,Age,24 Months,75.4,68.9 to 81.4,302,2022
DTaP,≥4 Doses,States/Local Areas,Alaska,2021,Age,24 Months,71.8,64.4 to 78.8,279,2023
DTaP,≥4 Doses,States/Local Areas,Alaska,2022,Age,24 Months,61.4,47.7 to 75.4,126,2024
DTaP,≥4 Doses,States/Local Areas,Arizona,2018,Age,24 Months,90,84.6 to 94.2,284,2020
DTaP,≥4 Doses,States/Local Areas,Arizona,2019,Age,24 Months,81.6,75.1 to 87.3,235,2021
DTaP,≥4 Doses,States/Local Areas,Arizona,2020,Age,24 Months,74.8,67.5 to 81.5,271,2022
DTaP,≥4 Doses,States/Local Areas,Arizona,2021,Age,24 Months,77.3,69.3 to 84.5,293,2023
DTaP,≥4 Doses,States/Local Areas,Arizona,2022,Age,24 Months,79.2,69.2 to 87.6,145,2024
DTaP,≥4 Doses,States/Local Areas,Arkansas,2018,Age,24 Months,71.1,64.8 to 77.2,426,2020
DTaP,≥4 Doses,States/Local Areas,Arkansas,2019,Age,24 Months,76.4,69.9 to 82.3,357,2021
DTaP,≥4 Doses,States/Local Areas,Arkansas,2020,Age,24 Months,76,69.7 to 81.9,323,2022
DTaP,≥4 Doses,States/Local Areas,Arkansas,2021,Age,24 Months,76.2,69.7 to 82.1,312,2023
