vaccine_exemption,dose,geography_type,geography,school_year,estimate_percent,population_size,percent_surveyed,footnotes,number_of_exemptions,survey_type
MMR,NA,States,Alabama,2020-21,94.7,56974,100,>=.*,NULL,Census
MMR,NA,States,Alabama,2021-22,94.9,60332,100,>=. *,NULL,Census
MMR,NA,States,Alabama,2022-23,93.9,59113,100,>=. *,NULL,Census
MMR,NA,States,Alabama,2023-24,93.8,54565,100,>=. *,NULL,Census
MMR,NA,States,Alabama,2024-25,95.2,53589,99.9,NULL,NULL,Census
MMR,NA,States,Alabama,2025-26,94.3,53378,100,*,NULL,Census
MMR,NA,States,Alaska,2021-22,78,9790,76.2,¶,NULL,"Vol. response (pub.), not conducted (pvt.)"
MMR,NA,States,Alaska,2022-23,83.6,9650,88.8,¶,NULL,"Vol. response (pub.), not conducted (pvt.)"
MMR,NA,States,Alaska,2023-24,84.3,8644,88.9,¶,NULL,"Census (pub.), not conducted (prv.)"
MMR,NA,States,Alaska,2024-25,81.2,7338,99.8,¶,NULL,"Census (pub.), not conducted (prv.)"
MMR,NA,States,Alaska,2025-26,89.9,8253,60.9,�,NULL,"Vol. response (public), not conducted (private)"
MMR,NA,States,Arizona,2020-21,91.9,76382,92.4,NULL,NULL,Census (public). voluntary response (private)
MMR,NA,States,Arizona,2021-22,90.6,83463,97,NULL,NULL,Census
MMR,NA,States,Arizona,2022-23,89.9,80814,97.7,NULL,NULL,Census
MMR,NA,States,Arizona,2023-24,89.3,74834,99.6,NULL,NULL,Census
MMR,NA,States,Arizona,2024-25,88.6,75024,97.4,NULL,NULL,Census
MMR,NA,States,Arizona,2025-26,87.4,73907,92.5,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Arkansas,2020-21,93.2,37540,95.6,‡,NULL,Census (public). voluntary response (private)
MMR,NA,States,Arkansas,2021-22,92.5,39358,96.3,NULL,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,Arkansas,2022-23,91.9,38358,95.8,NULL,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,Arkansas,2023-24,92.5,37535,95.4,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Arkansas,2024-25,89.6,37570,96.4,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Arkansas,2025-26,91.5,35543,96.7,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,California,2020-21,95.1,498214,97.5,‡,NULL,Census
MMR,NA,States,California,2021-22,96.3,512144,98.4,‡,NULL,Census
MMR,NA,States,California,2022-23,96.5,541132,100,‡,NULL,Census
MMR,NA,States,California,2023-24,96.2,569680,100,*. ‡,NULL,Census
MMR,NA,States,California,2024-25,96.1,590849,100,*. ‡,NULL,Census
MMR,NA,States,California,2025-26,95.7,614405,100,*. �,NULL,Census
MMR,NA,States,Colorado,2020-21,90.5,63619,97.3,NULL,NULL,Census
MMR,NA,States,Colorado,2021-22,88.4,66900,97.5,NULL,NULL,Census
MMR,NA,States,Colorado,2022-23,87,65576,97.2,NULL,NULL,Census
MMR,NA,States,Colorado,2023-24,88.3,61662,100,*,NULL,Census
MMR,NA,States,Colorado,2024-25,88,60055,100,*. §,NULL,Census
MMR,NA,States,Colorado,2025-26,87.7,60049,100,*. �,NULL,Census
MMR,NA,States,Connecticut,2020-21,95.3,34396,100,*,NULL,Census
MMR,NA,States,Connecticut,2021-22,95.7,35451,100,*,NULL,Census
MMR,NA,States,Connecticut,2022-23,97.3,35580,100,*,NULL,Census
MMR,NA,States,Connecticut,2023-24,97.7,36184,100,*,NULL,Census
MMR,NA,States,Connecticut,2024-25,98.2,30112,100,*,NULL,Census
MMR,NA,States,Connecticut,2025-26,98.6,33118,100,*,NULL,Census
MMR,NA,States,Delaware,2020-21,95.7,10587,9.2,NULL,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Delaware,2021-22,96.4,11181,9.5,‡,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Delaware,2022-23,95.1,10674,9.7,‡,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Delaware,2023-24,93.8,11043,12.1,>=. ‡,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Delaware,2024-25,94.1,10393,14.2,‡,NULL,"2-stage cluster sample (pub.), nonrandom 2-stage cluster sample (prv.)"
MMR,NA,States,Delaware,2025-26,93.5,10729,12.9,NULL,NULL,"2-stage cluster sample (pub.), nonrandom 2-stage cluster sample (prv.)"
MMR,NA,States,District of Columbia,2020-21,78.9,8262,100,*,NULL,Census
MMR,NA,States,District of Columbia,2021-22,82,8959,100,*,NULL,Census
MMR,NA,States,District of Columbia,2022-23,87.5,8064,100,*,NULL,Census
MMR,NA,States,District of Columbia,2023-24,92,7874,100,*,NULL,Census
MMR,NA,States,District of Columbia,2024-25,92.7,7997,100,*,NULL,Census
MMR,NA,States,District of Columbia,2025-26,94.4,7871,100,*,NULL,Census
MMR,NA,States,Florida,2020-21,93.3,207026,100,>=.*,NULL,Census
MMR,NA,States,Florida,2021-22,91.7,229432,97.8,>=. §,NULL,Census
MMR,NA,States,Florida,2022-23,90.6,230309,97.7,>=,NULL,Census
MMR,NA,States,Florida,2023-24,88.1,228213,100,>=. *,NULL,Census
MMR,NA,States,Florida,2024-25,88.8,221053,100,>=. *,NULL,Census
MMR,NA,States,Florida,2025-26,88.9,213535,100,>=. *,NULL,Census
MMR,NA,States,Georgia,2020-21,88.5,83191,100,>=.*,NULL,Census
MMR,NA,States,Georgia,2021-22,83.2,118742,100,>=. *,NULL,Census
MMR,NA,States,Georgia,2022-23,88.1,123771,100,>=. *,NULL,Census
MMR,NA,States,Georgia,2023-24,88.4,136943,100,>=. *,NULL,Census
MMR,NA,States,Georgia,2024-25,86.8,114568,100,>=. *,NULL,Census
MMR,NA,States,Georgia,2025-26,89.1,118864,100,>=. *,NULL,Census
MMR,NA,States,Hawaii,2020-21,90.7,13074,9.3,NULL,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Hawaii,2021-22,94.3,13368,6.7,NULL,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Hawaii,2022-23,86.4,13195,8.1,NULL,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Hawaii,2023-24,89.8,13995,8.2,NULL,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Hawaii,2024-25,90.1,13804,10.5,NULL,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Hawaii,2025-26,89.3,13791,11.7,NULL,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Idaho,2020-21,86.5,22677,98.3,NULL,NULL,Census
MMR,NA,States,Idaho,2021-22,83.9,23854,99.6,NULL,NULL,Census
MMR,NA,States,Idaho,2022-23,81.3,23721,99.3,NULL,NULL,Census
MMR,NA,States,Idaho,2023-24,79.6,22376,100,*,NULL,Census
MMR,NA,States,Idaho,2024-25,78.5,22242,99.5,NULL,NULL,Census
MMR,NA,States,Idaho,2025-26,75.2,21728,100,*,NULL,Census
MMR,NA,States,Illinois,2020-21,NA,NULL,NULL,NULL,NULL,Not Conducted
MMR,NA,States,Illinois,2021-22,92.1,137699,100,*,NULL,Census
MMR,NA,States,Illinois,2022-23,91.7,135332,100,*,NULL,Census
MMR,NA,States,Illinois,2023-24,91.6,133578,100,*,NULL,Census
MMR,NA,States,Illinois,2024-25,91.8,132769,99.5,NULL,NULL,Census
MMR,NA,States,Illinois,2025-26,92.8,128598,99.8,NULL,NULL,Census
MMR,NA,States,Indiana,2020-21,93.1,78694,71.4,§,NULL,Voluntary response
MMR,NA,States,Indiana,2021-22,92.1,83198,75.1,§,NULL,Vol. response
MMR,NA,States,Indiana,2022-23,92,81307,87.5,§,NULL,"Vol. response (pub.), census (pvt.)"
MMR,NA,States,Indiana,2023-24,90.8,80639,88.5,§,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Indiana,2024-25,90.8,73744,92.7,§,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Indiana,2025-26,90.1,70886,87.1,�,NULL,Vol. response
MMR,NA,States,Iowa,2020-21,93.4,39141,100,>=.*,NULL,Census
MMR,NA,States,Iowa,2021-22,90.6,40111,100,>=. *,NULL,Census
MMR,NA,States,Iowa,2022-23,89.9,39178,100,>=. *,NULL,Census
MMR,NA,States,Iowa,2023-24,89.1,38611,100,>=. *,NULL,Census
MMR,NA,States,Iowa,2024-25,88.8,38268,100,>=. *,NULL,Census
MMR,NA,States,Iowa,2025-26,88.9,37490,100,>=. *,NULL,Census
MMR,NA,States,Kansas,2020-21,92.6,34687,32.7,†.‡.§,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Kansas,2021-22,91,36526,29.5,†. ‡. §,NULL,Stratified 1-stage cluster sample
MMR,NA,States,Kansas,2022-23,91.6,35543,30.8,†. ‡. §,NULL,Stratified 1-stage cluster sample
MMR,NA,States,Kansas,2023-24,90.4,34178,37.1,†. ‡. §,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Kansas,2024-25,91,33892,29.2,†. ‡. §,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Kansas,2025-26,NA,NULL,NULL,NULL,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Kentucky,2020-21,88.9,59233,86.4,‡.§,NULL,Census (public). voluntary response (private)
MMR,NA,States,Kentucky,2021-22,86.5,59233,91.5,>=. ‡. §,NULL,Census
MMR,NA,States,Kentucky,2022-23,90.1,54742,96.9,>=. ‡. §,NULL,Census
MMR,NA,States,Kentucky,2023-24,90,52609,100,>=. *. ‡. §,NULL,Census
MMR,NA,States,Kentucky,2024-25,86.9,51319,100,*. §,NULL,Census
MMR,NA,States,Kentucky,2025-26,91.1,49937,100,*. �,NULL,Census
MMR,NA,States,Louisiana,2020-21,96.2,61912,100,*,NULL,Census
MMR,NA,States,Louisiana,2021-22,93.7,66518,100,*,NULL,Census
MMR,NA,States,Louisiana,2022-23,92.2,54314,100,*,NULL,Census
