state,bill_number,bill_status,text_description,comments,bill_valency
Alabama,AL HB 24,Not enacted,Would make it more convenient for parents to obtain religious exemptions,Would also expand religious exemptions to public institutions of higher education,Bad
Alabama,AL HB 12,Not enacted,Would prohibit discrimination on the basis of vaccine refusal,NA,Bad
Alabama,AL HB 367,Not enacted,Prohibits governmental entities and county health departments from using public funds to produce or distribute materials that promote vaccination,NA,Bad
Alaska,AK HB 279,Not enacted,Would restrict vaccination requirements to those with full FDA approval and require providers to provide documentation of vaccine risks and benefits before administration,NA,Bad
Alaska,AK HB 238,Not enacted,Would add AAP-recommended vaccines to list of vaccines covered by statewide immunization program and medical assistance,NA,Good
Arizona,AZ HB 2086,Not enacted,Would restrict government entity from requiring any vaccine (notwithstanding school vaccination requirements),NA,Bad
Arizona,AZ HB 2248,Not enacted,"Would prohibit schools from requiring medical intervention for attendance, subject to Parents' Bill of Rights",NA,Bad
Arizona,AZ HB 2005,Not enacted,"Would prohibit healthcare professionals from denying care/providing ""less than the standard of care"" based on vaccination statutus, and would prohibit healthcare institutions from adopting policies that would do so",NA,Bad
Arizona,AZ HB 2336,Not enacted,Would prohibit health insurers from including vaccine mandates as condition of coverage,NA,Bad
Arkansas,AR HB 1619,Enacted,"Requires the state Medicaid program to reimburse providers for administering RSV immunizations at the same rate as the Vaccines for Children (VFC) program, and prohibits civil liability against providers who administer these immunizations",NA,Good
Arkansas,AR SB 6,Not enacted,"Allow pharmaceutical company officers to be held criminally liable for ""vaccine harm""",NA,Bad
California,CA AB 2651,Not enacted,Would require DPH to establish immunization coverage needed to prevent spread of disease and require department to notify parents when school rate has fallen below that level,NA,Good
California,CA SB 290,Not enacted,Repeals the requirement that children must be immunized in order to receive CalWORKs benefits,NA,Bad
California,CA AB 2101,Not enacted,Establishes a state stockpile of vaccines,NA,Good
California,CA SB 144,Not enacted,"Would authorize state to modify or supplement baseline vaccine recommendations, taking into account guidance from leading medical organizations",NA,Good
Colorado,CO SB 26-032,Enacted,Distances state immunization policy from ACIP recommendations and allows state to consider recommendations from AAP and other medical bodies,NA,Good
Colorado,CO SB 196,Enacted,"Specifies that if the Advisory Committee on Immunization Practices (ACIP) is repealed, modified, or otherwise ceases to operate, the commissioner of insurance retains the authority to require vaccine coverage by insurers",NA,Good
Colorado,CO HB 1027,Enacted,"Directs the State Board of Health to consider vaccination recommendations from the American Academy of Pediatrics (AAP) and other professional organizations, in addition to those from the Advisory Committee on Immunization Practices (ACIP), when establishing immunization requirements; Includes additional changes to school immunization provisions",NA,Good
Connecticut,CT HB 5044,Enacted,"Expands authority of commissioner of public health to determine state vaccine requirements, with less reliance on federal vaccine recommendations",NA,Good
Connecticut,CT SB 526,Not enacted,"Would expand exemptions to state-mandated vaccination laws for school-aged children to allow philosophical exemptions based on personal, moral, or other beliefs",NA,Bad
Connecticut,CT HB 6174,Not enacted,Would allow students to recover actual and punitive damages for injuries or illnesses caused by a vaccination program if the state required the student to receive the vaccine as a condition of school admission,NA,Bad
Connecticut,CT HB 6581,Not enacted,"Would authorize pharmacists to administer vaccines to children, regardless of age",NA,Good
Connecticut,CT HB 6614,Not enacted,Would reestablish religious exemptions for school vaccination requirements,NA,Bad
Delaware,DE SB 180,Enacted,"Pharmacists, pharmacy interns, and nationally certified pharmacy technicians who have completed an accredited training program, are currently trained in CPR, and have notified the Delaware Board of Pharmacy may administer immunizations via a prescriber's order or protocol for patients aged 3 years and older.",NA,Good
Delaware,DE HB 225,Enacted,"Provides for the reimbursement of vaccine administration fees to eligible providers for vaccines administered to eligible children under the Vaccines for Children (VFC) program, in accordance with rates set by the Division of Medicaid and Medical Assistance in conjunction with the CDC. If funding levels permit, these funds may also be used to upgrade and maintain the state immunization registry (DelVAX).",NA,Good
Delaware,DE HB 338,Not enacted,"Would require insurers to cover without cost-sharing immunizations recommended by ACIP or other national clinical guidelines as of January 1, 2025",NA,Good
Florida,FL SR 1244,Enacted,"Recognizes August 2026 as ""Immunization Awareness Month""",NA,Good
District of Columbia,DC B26-0606,Not enacted,Would protect physicians from being held liable for claims resulting from vaccine administration,NA,Good
District of Columbia,DC B26-0414,Enacted,"Allows providers to administer immunizations recommended by non-federal organizations (e.g., AAP)",NA,Good
District of Columbia,DC B 278,Enacted,"Requires schools to annually distribute immunization information, including information on how to obtain immunizations, in languages other than English",Enacted- 1/23/2024,Good
Florida,FL HB 917 & SB 1756,Not enacted,"Would add steps to vaccination consent process, allow for exemptions of conscience, require exemption form to be made publicly available on DoH website, and prohibit discrimination based on vaccination status",Died in committee,Bad
Florida,FL SB 408 & HB 339,Not enacted,"Would hold manufacturers liable for vaccine harm if they advertise a vaccine in the state and that vaccine ""causes harm or injury""",Died in committee,Bad
Florida,FL SB 1752,Not enacted,Would establish a universal state health plan ('Florida Health Plan') that includes coverage for vaccines,NA,Good
Florida,FL SB 1299,Enacted,Prohibits discrimination based on vaccination status in educational institutions,NA,Bad
Georgia,GA HB 1350,Not enacted,"Would establish ""Georgia Medical Freedom Act"", repealing the authority of the Department of Public Health to require vaccinations and prohibiting schools from requiring medical interventions",NA,Bad
Georgia,GA SB 262,Not enacted,"Would require insurers to fully cover preventive services, including immunization, without cost-sharing requirements",NA,Good
Georgia,GA SR 304,Enacted,Includes RSV vaccination and monoclonal antibodies within the Vaccines for Children program,NA,Good
Hawaii,HI SB 2472,Not enacted,"Would expand religious vaccination exemptions, such as by removing requirement that parent is an established member of a recognized church, and require (rather than authorizes) schools to provide exemptions",NA,Bad
Hawaii,HI HB 2512,Not enacted,Would establish Hawaii Medical Freedom Act and prohibit schools and other establishments from imposing vaccination requirements,NA,Bad
Hawaii,HI HB 2313,Not enacted,Would establish Hawaii preventive services advisory committee to provide scientific-backed guidance on vaccine requirements and insurance coverage,NA,Good
Hawaii,HI HB 2199,Not enacted,"Would restrict schools and other organizations from imposing restrictions on an individual's ""right to bodily autonomy"", including vaccination requirements",NA,Bad
Idaho,ID HF 574,Not enacted,"Would prohibit medical mandates for school attendance, weaken the state immunization registry, and would frame vaccines as ""voluntary"" rather than ""not mandatory""",NA,Bad
Idaho,ID H 290,Enacted,"Codifies immunization and documentation requirements for schools and daycares, including a simple opt-out process for exemptions",NA,Bad
