Vaccine/Exemption,Dose,Geography Type,Geography,School Year,Estimate (%),Population Size,Percent Surveyed,Footnotes,Number of Exemptions,Survey Type
Polio,,States,Indiana,2019-20,90.4,88253,65.7,,,Voluntary response
Exemption,Any Exemption,States,Indiana,2016-17,1,83263,,†,809,Voluntary response
Exemption,Any Exemption,States,Indiana,2017-18,0.9,84296,,†,735,Voluntary Response
Exemption,Any Exemption,States,Indiana,2019-20,2.2,88253,,†,1901,Voluntary response
Exemption,Any Exemption,States,Indiana,2020-21,1.9,78694,71.4,†,1464,Voluntary response
Exemption,Any Exemption,States,Indiana,2018-19,1.3,82324,,†,1035,Census
Polio,,States,Indiana,2018-19,91.3,82324,96.4,,,Census
Polio,,States,Indiana,2016-17,89.5,83263,80.3,,,Voluntary response
Polio,,States,Indiana,2017-18,92.7,84296,96.4,,,Voluntary Response
Polio,,States,Indiana,2015-16,89.7,83525,69.5,,,Voluntary response
Polio,,States,Indiana,2014-15,89.7,85477,70.1,,,Voluntary response
Polio,,States,Indiana,2013-14,90,87193,70.3,,,Voluntary response
Polio,,States,Indiana,2012-13,93.4,86983,83.4,,,Voluntary Response
Polio,,States,Indiana,2020-21,89.9,78694,71.4,§,,Voluntary response
Polio,,States,Indiana,2021-22,89.3,83198,75.1,§,,Vol. response
Exemption,Medical Exemption,States,Indiana,2009-10,0.3,84390,,,236,Census
Exemption,Medical Exemption,States,Indiana,2010-11,NA,,,,,NA
Exemption,Medical Exemption,States,Indiana,2011-12,0.2,83416,,,137,Voluntary Response
Exemption,Medical Exemption,States,Indiana,2012-13,0.4,86983,,,326,Voluntary Response
Exemption,Medical Exemption,States,Indiana,2013-14,0.4,87193,,,348,Voluntary response
Exemption,Non-Medical Exemption,States,Indiana,2015-16,1.1,83525,,†,912,Voluntary response
Exemption,Non-Medical Exemption,States,Indiana,2013-14,0.8,87193,,†,727,Voluntary response
Exemption,Non-Medical Exemption,States,Indiana,2014-15,0.8,85477,,†,651,Voluntary response
Exemption,Non-Medical Exemption,States,Indiana,2009-10,0.8,84390,,†,674,Census
Exemption,Non-Medical Exemption,States,Indiana,2010-11,NA,,,,,NA
Exemption,Non-Medical Exemption,States,Indiana,2011-12,0.9,83416,,†,514,Voluntary Response
Exemption,Non-Medical Exemption,States,Indiana,2012-13,0.9,86983,,†,804,Voluntary Response
Exemption,Medical Exemption,States,Indiana,2014-15,0.5,85477,,,406,Voluntary response
Exemption,Medical Exemption,States,Indiana,2015-16,0.5,83525,,,395,Voluntary response
Exemption,Medical Exemption,States,Indiana,2016-17,0.1,83263,,,112,Voluntary response
Exemption,Medical Exemption,States,Indiana,2017-18,0.2,84296,,,156,Voluntary Response
Exemption,Medical Exemption,States,Indiana,2019-20,0.2,88253,,†,199,Voluntary response
Exemption,Medical Exemption,States,Indiana,2018-19,0.3,82324,,†,252,Census
Exemption,Medical Exemption,States,Indiana,2020-21,0.2,78694,71.4,†,131,Voluntary response
Exemption,Medical Exemption,States,Indiana,2021-22,0.2,83198,75.1,†,141,Vol. response
"DTP, DTaP, or DT",,States,Indiana,2015-16,92.6,83525,69.5,,,Voluntary response
"DTP, DTaP, or DT",,States,Indiana,2014-15,92.7,85477,70.1,,,Voluntary response
"DTP, DTaP, or DT",,States,Indiana,2016-17,92.1,83263,80.3,,,Voluntary response
MMR,,States,Indiana,2015-16,89.2,83525,69.5,,,Voluntary response
MMR,,States,Indiana,2014-15,89.3,85477,70.1,,,Voluntary response
MMR,,States,Indiana,2013-14,92.9,87193,70.3,,,Voluntary response
MMR,,States,Indiana,2012-13,95.4,86983,83.4,,,Voluntary Response
MMR,,States,Indiana,2011-12,93.3,83416,67.5,,,Voluntary Response
MMR,,States,Indiana,2010-11,NA,,,,,NA
MMR,,States,Indiana,2009-10,92.8,84390,94.7,,,Census
"DTP, DTaP, or DT",,States,Indiana,2009-10,91.1,84390,94.7,,,Census
MMR,,States,Indiana,2021-22,92.1,83198,75.1,§,,Vol. response
MMR,,States,Indiana,2016-17,88.9,83263,80.3,,,Voluntary response
MMR,,States,Indiana,2019-20,94.4,88253,65.7,,,Voluntary response
MMR,,States,Indiana,2020-21,93.1,78694,71.4,§,,Voluntary response
MMR,,States,Indiana,2017-18,90.4,84296,96.4,,,Voluntary Response
MMR,,States,Indiana,2018-19,91.2,82324,96.4,,,Census
"DTP, DTaP, or DT",,States,Indiana,2013-14,81.8,87193,70.3,,,Voluntary response
"DTP, DTaP, or DT",,States,Indiana,2012-13,90.1,86983,83.4,,,Voluntary Response
"DTP, DTaP, or DT",,States,Indiana,2011-12,90.2,83416,67.5,,,Voluntary Response
"DTP, DTaP, or DT",,States,Indiana,2010-11,NA,,,,,NA
Exemption,Any Exemption,States,Indiana,2012-13,1.3,86983,,†,1129,Voluntary Response
Exemption,Any Exemption,States,Indiana,2013-14,1.2,87193,,†,1075,Voluntary response
Exemption,Any Exemption,States,Indiana,2014-15,1.1,85477,,†,977,Voluntary response
Exemption,Any Exemption,States,Indiana,2015-16,1.2,83525,,†,1035,Voluntary response
Exemption,Any Exemption,States,Indiana,2011-12,1.2,83416,,†,651,Voluntary Response
Exemption,Any Exemption,States,Indiana,2010-11,NA,,,,,NA
Exemption,Any Exemption,States,Indiana,2009-10,1.1,84390,,†,909,Census
Exemption,Non-Medical Exemption,States,Indiana,2021-22,2.2,83198,75.1,†,1839,Vol. response
Exemption,Non-Medical Exemption,States,Indiana,2017-18,0.7,84296,,†,579,Voluntary Response
Exemption,Non-Medical Exemption,States,Indiana,2018-19,1,82324,,†,783,Census
Exemption,Non-Medical Exemption,States,Indiana,2020-21,1.7,78694,71.4,†,1333,Voluntary response
Exemption,Non-Medical Exemption,States,Indiana,2019-20,1.9,88253,,†,1701,Voluntary response
Exemption,Non-Medical Exemption,States,Indiana,2016-17,0.8,83263,,†,697,Voluntary response
Exemption,Any Exemption,States,Indiana,2021-22,2.4,83198,75.1,†,1980,Vol. response
Varicella,UTD (unknown disease history),States,Indiana,2020-21,92.8,78694,71.4,§,,Voluntary response
Varicella,UTD (unknown disease history),States,Indiana,2021-22,91.7,83198,75.1,§,,Vol. response
Hepatitis B,,States,Indiana,2022-23,94.4,81307,87.5,§,,"Vol. response (pub.), census (pvt.)"
Varicella,2 Doses (unknown disease history),States,Indiana,2022-23,91.6,81307,87.5,§,,"Vol. response (pub.), census (pvt.)"
Exemption,Non-Medical Exemption,States,Indiana,2022-23,2.5,81307,87.5,†,2071,"Vol. response (pub.), census (pvt.)"
Exemption,Medical Exemption,States,Indiana,2022-23,0.2,81307,87.5,†,175,"Vol. response (pub.), census (pvt.)"
Exemption,Any Exemption,States,Indiana,2022-23,2.8,81307,87.5,†,2246,"Vol. response (pub.), census (pvt.)"
Varicella,UTD (unknown disease history),States,Indiana,2022-23,91.6,81307,87.5,§,,"Vol. response (pub.), census (pvt.)"
Polio,,States,Indiana,2022-23,88.8,81307,87.5,§,,"Vol. response (pub.), census (pvt.)"
"DTP, DTaP, or DT",,States,Indiana,2022-23,83,81307,87.5,§,,"Vol. response (pub.), census (pvt.)"
Varicella,1 Dose (unknown disease history),States,Indiana,2022-23,NReq,81307,87.5,§,,"Vol. response (pub.), census (pvt.)"
MMR,,States,Indiana,2022-23,92,81307,87.5,§,,"Vol. response (pub.), census (pvt.)"
MMR,,States,Indiana,2023-24,90.8,80639,88.5,§,,"Census (pub.), vol. response (prv.)"
"DTP, DTaP, or DT",,States,Indiana,2023-24,81.8,80639,88.5,§,,"Census (pub.), vol. response (prv.)"
Varicella,1 Dose (unknown disease history),States,Indiana,2023-24,NReq,80639,88.5,§,,"Census (pub.), vol. response (prv.)"
Varicella,2 Doses (unknown disease history),States,Indiana,2023-24,90.3,80639,88.5,§,,"Census (pub.), vol. response (prv.)"
Hepatitis B,,States,Indiana,2023-24,93.3,80639,88.5,§,,"Census (pub.), vol. response (prv.)"
Polio,,States,Indiana,2023-24,81.8,80639,88.5,§,,"Census (pub.), vol. response (prv.)"
MMR (PAC),MMR (PAC),States,Indiana,2017-18,99.1,,,,,
MMR (PAC),MMR (PAC),States,Indiana,2018-19,98.7,,,,,
MMR (PAC),MMR (PAC),States,Indiana,2019-20,97.8,,,,,
MMR (PAC),MMR (PAC),States,Indiana,2020-21,98.1,,,,,
MMR (PAC),MMR (PAC),States,Indiana,2021-22,97.6,,,,,
MMR (PAC),MMR (PAC),States,Indiana,2022-23,97.2,,,,,
Exemption,Non-Medical Exemption,States,Indiana,2023-24,2.4,80639,88.5,†,1899,"Census (pub.), vol. response (prv.)"
Exemption,Medical Exemption,States,Indiana,2023-24,0.1,80639,88.5,†,75,"Census (pub.), vol. response (prv.)"
Exemption,Any Exemption,States,Indiana,2023-24,2.4,80639,88.5,†,1974,"Census (pub.), vol. response (prv.)"
Varicella,UTD (unknown disease history),States,Indiana,2023-24,90.3,80639,88.5,§,,"Census (pub.), vol. response (prv.)"
MMR (PAC),MMR (PAC),States,Indiana,2023-24,97.6,,,,,
Varicella,2 Doses (unknown disease history),States,Indiana,2009-10,NReq,84390,94.7,,,Census
Varicella,1 Dose (unknown disease history),States,Indiana,2021-22,NReq,83198,75.1,§,,Vol. response
Varicella,2 Doses (unknown disease history),States,Indiana,2015-16,88,83525,69.5,,,Voluntary response
Varicella,2 Doses (unknown disease history),States,Indiana,2014-15,90.1,85477,70.1,,,Voluntary response
Varicella,2 Doses (unknown disease history),States,Indiana,2013-14,90.2,87193,70.3,,,Voluntary response
Varicella,2 Doses (unknown disease history),States,Indiana,2012-13,93.9,86983,83.4,,,Voluntary Response
Varicella,2 Doses (unknown disease history),States,Indiana,2011-12,91.9,83416,67.5,,,Voluntary Response
Varicella,2 Doses (unknown disease history),States,Indiana,2010-11,NA,,,,,NA
Varicella,1 Dose (unknown disease history),States,Indiana,2012-13,NA,86983,83.4,,,Voluntary Response
Varicella,1 Dose (unknown disease history),States,Indiana,2014-15,NA,85477,70.1,,,Voluntary response
Varicella,1 Dose (unknown disease history),States,Indiana,2013-14,NA,87193,70.3,,,Voluntary response
Varicella,1 Dose (unknown disease history),States,Indiana,2019-20,NReq,88253,65.7,,,Voluntary response
Varicella,1 Dose (unknown disease history),States,Indiana,2020-21,NReq,78694,71.4,§,,Voluntary response
Varicella,1 Dose (unknown disease history),States,Indiana,2015-16,NA,83525,69.5,,,Voluntary response
"DTP, DTaP, or DT",,States,Indiana,2017-18,94.3,84296,96.4,,,Voluntary Response
"DTP, DTaP, or DT",,States,Indiana,2019-20,84,88253,65.7,,,Voluntary response
"DTP, DTaP, or DT",,States,Indiana,2018-19,94.4,82324,96.4,,,Census
"DTP, DTaP, or DT",,States,Indiana,2021-22,84,83198,75.1,§,,Vol. response
"DTP, DTaP, or DT",,States,Indiana,2020-21,83.9,78694,71.4,§,,Voluntary response
Polio,,States,Indiana,2011-12,90.4,83416,67.5,,,Voluntary Response
Polio,,States,Indiana,2010-11,NA,,,,,NA
Polio,,States,Indiana,2009-10,92.9,84390,94.7,,,Census
Hepatitis B,,States,Indiana,2021-22,94.9,83198,75.1,§,,Vol. response
Hepatitis B,,States,Indiana,2020-21,95.3,78694,71.4,§,,Voluntary response
Hepatitis B,,States,Indiana,2018-19,92.4,82324,96.4,,,Census
Hepatitis B,,States,Indiana,2019-20,96,88253,65.7,,,Voluntary response
Varicella,1 Dose (unknown disease history),States,Indiana,2011-12,NA,83416,67.5,,,Voluntary Response
Hepatitis B,,States,Indiana,2015-16,90.3,83525,69.5,,,Voluntary response
Hepatitis B,,States,Indiana,2014-15,90.3,85477,70.1,,,Voluntary response
Hepatitis B,,States,Indiana,2016-17,90.2,83263,80.3,,,Voluntary response
Hepatitis B,,States,Indiana,2017-18,92.8,84296,96.4,,,Voluntary Response
Hepatitis B,,States,Indiana,2013-14,97.1,87193,70.3,,,Voluntary response
Hepatitis B,,States,Indiana,2012-13,95.6,86983,83.4,,,Voluntary Response
Hepatitis B,,States,Indiana,2010-11,NA,,,,,NA
Hepatitis B,,States,Indiana,2011-12,93.2,83416,67.5,,,Voluntary Response
Varicella,1 Dose (unknown disease history),States,Indiana,2010-11,NA,,,,,NA
Varicella,1 Dose (unknown disease history),States,Indiana,2009-10,96,84390,94.7,,,Census
Hepatitis B,,States,Indiana,2009-10,95.2,84390,94.7,,,Census
Varicella,2 Doses (unknown disease history),States,Indiana,2021-22,91.7,83198,75.1,§,,Vol. response
Varicella,2 Doses (unknown disease history),States,Indiana,2016-17,87.9,83263,80.3,,,Voluntary response
Varicella,2 Doses (unknown disease history),States,Indiana,2018-19,93.5,82324,96.4,,,Census
Varicella,2 Doses (unknown disease history),States,Indiana,2017-18,90.2,84296,96.4,,,Voluntary Response
Varicella,2 Doses (unknown disease history),States,Indiana,2019-20,94,88253,65.7,,,Voluntary response
Varicella,2 Doses (unknown disease history),States,Indiana,2020-21,92.8,78694,71.4,§,,Voluntary response
MMR,,States,Maryland,2022-23,96.7,59684,100,*. ‡,,Census
"DTP, DTaP, or DT",,States,Maryland,2022-23,96.9,59684,100,*. ‡,,Census
Varicella,1 Dose (unknown disease history),States,Maryland,2022-23,NReq,59684,100,*. ‡,,Census
Hepatitis B,,States,Maryland,2022-23,97,59684,100,*. ‡,,Census
Varicella,2 Doses (unknown disease history),States,Maryland,2022-23,96.6,59684,100,*. ‡,,Census
Exemption,Non-Medical Exemption,States,Maryland,2022-23,1.4,59684,100,†,836,Census
Exemption,Medical Exemption,States,Maryland,2022-23,0.5,59684,100,†,307,Census
Exemption,Any Exemption,States,Maryland,2022-23,1.9,59684,100,†,1143,Census
Polio,,States,Maryland,2022-23,97.2,59684,100,*. ‡,,Census
Varicella,UTD (unknown disease history),States,Maryland,2022-23,96.6,59684,100,*. ‡,,Census
Hepatitis B,,States,New Mexico,2022-23,96.5,21068,100,*,,Census
"DTP, DTaP, or DT",,States,New Mexico,2022-23,94.7,21068,100,*,,Census
Varicella,1 Dose (unknown disease history),States,New Mexico,2022-23,NReq,21068,100,*,,Census
MMR,,States,New Mexico,2022-23,94.9,21068,100,*,,Census
Varicella,2 Doses (unknown disease history),States,New Mexico,2022-23,94.4,21068,100,*,,Census
Exemption,Medical Exemption,States,New Mexico,2022-23,0.1,21068,100,†,28,Census
Exemption,Non-Medical Exemption,States,New Mexico,2022-23,1.4,21068,100,†,291,Census
Exemption,Any Exemption,States,New Mexico,2022-23,1.5,21068,100,†,319,Census
Polio,,States,New Mexico,2022-23,95,21068,100,*,,Census
Varicella,UTD (unknown disease history),States,New Mexico,2022-23,94.4,21068,100,*,,Census
"DTP, DTaP, or DT",,States,New Mexico,2009-10,99,26318,2.2,,,Random sample
MMR,,States,New Mexico,2021-22,94.3,20736,100,*,,Census
MMR,,States,New Mexico,2018-19,96.1,25269,99.6,,,Census
MMR,,States,New Mexico,2017-18,94.8,26896,99.6,,,Stratified 2-stage cluster sample
MMR,,States,New Mexico,2020-21,95.7,20589,100,*,,Census
MMR,,States,New Mexico,2019-20,97,23087,100,*,,Census
MMR,,States,New Mexico,2015-16,96.2,29049,2.7,†,,Stratified 2-stage cluster sample
MMR,,States,New Mexico,2016-17,95.5,27119,4.5,,,Stratified 2-stage cluster sample
Varicella,UTD (unknown disease history),States,New Mexico,2021-22,93.6,20736,100,*,,Census
Varicella,UTD (unknown disease history),States,New Mexico,2020-21,95.3,20589,100,*,,Census
Hepatitis B,,States,New Mexico,2009-10,99.1,26318,2.2,,,Random sample
Varicella,2 Doses (unknown disease history),States,New Mexico,2021-22,93.6,20736,100,*,,Census
Hepatitis B,,States,New Mexico,2011-12,97.3,29159,2,,,2-stage Cluster Sample
Hepatitis B,,States,New Mexico,2010-11,NA,,,,,NA
Hepatitis B,,States,New Mexico,2012-13,96.2,29279,3.3,‡ ,,2-stage Cluster Sample
Hepatitis B,,States,New Mexico,2013-14,97.2,30725,2.7,‡,,Stratified  2-stage cluster sample
Hepatitis B,,States,New Mexico,2016-17,95.4,27119,4.5,,,Stratified 2-stage cluster sample
Hepatitis B,,States,New Mexico,2017-18,96,26896,99.6,,,Stratified 2-stage cluster sample
Hepatitis B,,States,New Mexico,2014-15,98.7,29918,3.3,†,,Stratified 2-stage cluster sample
Hepatitis B,,States,New Mexico,2015-16,97,29049,2.7,†,,Stratified 2-stage cluster sample
Hepatitis B,,States,New Mexico,2019-20,97.7,23087,100,*,,Census
Hepatitis B,,States,New Mexico,2018-19,96.8,25269,99.6,,,Census
Hepatitis B,,States,New Mexico,2020-21,96.9,20589,100,*,,Census
Hepatitis B,,States,New Mexico,2021-22,93.7,20736,100,*,,Census
Polio,,States,New Mexico,2009-10,99.3,26318,2.2,,,Random sample
Polio,,States,New Mexico,2010-11,NA,,,,,NA
Polio,,States,New Mexico,2011-12,97.6,29159,2,,,2-stage Cluster Sample
MMR,,States,New Mexico,2009-10,97.6,26318,2.2,,,Random sample
MMR,,States,New Mexico,2010-11,NA,,,,,NA
MMR,,States,New Mexico,2011-12,95.7,29159,2,,,2-stage Cluster Sample
MMR,,States,New Mexico,2012-13,93.9,29279,3.3,‡ ,,2-stage Cluster Sample
MMR,,States,New Mexico,2013-14,95.9,30725,2.7,‡,,Stratified  2-stage cluster sample
MMR,,States,New Mexico,2014-15,97.7,29918,3.3,†,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,New Mexico,2010-11,NA,,,,,NA
"DTP, DTaP, or DT",,States,New Mexico,2011-12,96.9,29159,2,,,2-stage Cluster Sample
"DTP, DTaP, or DT",,States,New Mexico,2012-13,96.6,29279,3.3,‡ ,,2-stage Cluster Sample
"DTP, DTaP, or DT",,States,New Mexico,2013-14,97.4,30725,2.7,‡,,Stratified  2-stage cluster sample
"DTP, DTaP, or DT",,States,New Mexico,2016-17,94.8,27119,4.5,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,New Mexico,2014-15,96.4,29918,3.3,†,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,New Mexico,2015-16,94.7,29049,2.7,†,,Stratified 2-stage cluster sample
MMR (PAC),MMR (PAC),States,New Mexico,2023-24,98.4,,,,,
Exemption,Non-Medical Exemption,States,New Mexico,2023-24,1.4,20699,100,†,300,Census
Exemption,Medical Exemption,States,New Mexico,2023-24,0.1,20699,100,†,29,Census
Exemption,Any Exemption,States,New Mexico,2023-24,1.6,20699,100,†,329,Census
Varicella,UTD (unknown disease history),States,New Mexico,2023-24,94.4,20699,100,*,,Census
MMR (PAC),MMR (PAC),States,New Mexico,2017-18,98.3,,,,,
MMR (PAC),MMR (PAC),States,New Mexico,2018-19,98.5,,,,,
MMR (PAC),MMR (PAC),States,New Mexico,2019-20,98.5,,,,,
MMR (PAC),MMR (PAC),States,New Mexico,2020-21,99.1,,,,,
MMR (PAC),MMR (PAC),States,New Mexico,2021-22,98.6,,,,,
MMR (PAC),MMR (PAC),States,New Mexico,2022-23,98.5,,,,,
MMR,,States,New Mexico,2023-24,95,20699,100,*,,Census
"DTP, DTaP, or DT",,States,New Mexico,2023-24,94.8,20699,100,*,,Census
Varicella,1 Dose (unknown disease history),States,New Mexico,2023-24,NReq,20699,100,*,,Census
Varicella,2 Doses (unknown disease history),States,New Mexico,2023-24,94.4,20699,100,*,,Census
Hepatitis B,,States,New Mexico,2023-24,96.7,20699,100,*,,Census
Polio,,States,New Mexico,2023-24,95,20699,100,*,,Census
Exemption,Non-Medical Exemption,States,New Mexico,2016-17,2.2,27119,,†,604,Stratified 2-stage cluster sample
Exemption,Non-Medical Exemption,States,New Mexico,2019-20,1.3,23087,,†,298,Census
Exemption,Non-Medical Exemption,States,New Mexico,2020-21,0.8,20589,100,†,166,Census
Exemption,Non-Medical Exemption,States,New Mexico,2018-19,1.2,25269,,†,303,Census
Exemption,Non-Medical Exemption,States,New Mexico,2017-18,1.5,26896,,†,394,Stratified 2-stage cluster sample
Exemption,Any Exemption,States,New Mexico,2009-10,0.7,26318,,††. †,183,Random sample
Exemption,Non-Medical Exemption,States,New Mexico,2021-22,1.1,20736,100,†,222,Census
Exemption,Any Exemption,States,New Mexico,2021-22,1.4,20736,100,†,280,Census
Exemption,Any Exemption,States,New Mexico,2018-19,1.5,25269,,†,388,Census
