Vaccine,Dose,Geography Type,Geography,Birth Year/Birth Cohort,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
DTaP,≥3 Doses,States/Local Areas,North Dakota,2019,Age,19 Months,93.5,88.0 to 96.6,263
DTaP,≥3 Doses,States/Local Areas,North Dakota,2018,Age,19 Months,95.2,91.0 to 97.5,293
DTaP,≥3 Doses,States/Local Areas,North Dakota,2018-2019,Age,19 Months,91.8,88.3 to 94.3,556
Polio,≥3 Doses,States/Local Areas,North Dakota,2021,Age,19 Months,89.4,81.9 to 94.1,143
Polio,≥2 Doses,States/Local Areas,North Dakota,2021,Age,5 Months,79.3,69.0 to 86.8,143
Polio,≥2 Doses,States/Local Areas,North Dakota,2020-2021,Age,13 Months,91.7,87.4 to 94.7,391
DTaP,≥2 Doses,States/Local Areas,North Dakota,2021,Age,5 Months,79.3,69.0 to 86.8,143
Hep B,≥3 Doses,States/Local Areas,North Dakota,2021,Age,13 Months,88.4,80.8 to 93.3,143
PCV,≥1 Dose,States/Local Areas,North Dakota,2021,Age,3 Months,89.2,81.7 to 93.9,143
Hep B,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,19 Months,92,87.8 to 94.9,391
≥1 Dose Varicella,,States/Local Areas,North Dakota,2021,Age,13 Months,62.7,51.0 to 73.0,143
≥1 Dose MMR,,States/Local Areas,North Dakota,2021,Age,19 Months,79.9,69.5 to 87.3,143
Hep B,"≥1 Dose, 2 Day",States/Local Areas,North Dakota,2020-2021,Age,0-2 Days,86.9,81.6 to 90.9,391
Hib,Full Series,States/Local Areas,North Dakota,2020-2021,Age,19 Months,72.9,66.0 to 78.9,391
Hep A,≥2 Doses,States/Local Areas,North Dakota,2021,Age,19 Months,39.8,29.5 to 51.2,143
PCV,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,7 Months,72.1,65.4 to 78.0,391
DTaP,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,13 Months,89.5,84.7 to 92.8,391
Hib,Full Series,States/Local Areas,North Dakota,2020-2021,Age,35 Months,86.5,74.5 to 94.6,391
Hep B,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,7 Months,78.9,72.6 to 84.1,391
PCV,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,19 Months,90.5,85.8 to 93.7,391
Influenza,,States/Local Areas,North Dakota,2020-2021,Age,24 Months,67.3,60.5 to 74.0,391
Hib,Primary Series,States/Local Areas,North Dakota,2021,Age,13 Months,88.5,80.8 to 93.4,143
Hep B,≥3 Doses,States/Local Areas,North Dakota,2021,Age,35 Months,96.9,91.0 to 99.3,143
DTaP,≥4 Doses,States/Local Areas,North Dakota,2021,Age,35 Months,77.2,67.0 to 86.1,143
Hib,≥1 Dose,States/Local Areas,North Dakota,2020-2021,Age,3 Months,87.1,82.0 to 90.9,391
PCV,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,35 Months,90.5,86.2 to 93.9,391
Combined 7 Series,,States/Local Areas,North Dakota,2020-2021,Age,24 Months,71.9,65.1 to 78.3,391
Combined 7 Series,,States/Local Areas,North Dakota,2020-2021,Age,35 Months,80.6,67.7 to 90.8,391
≥1 Dose Varicella,,States/Local Areas,North Dakota,2020-2021,Age,24 Months,86.5,81.1 to 91.0,391
Hep A,≥1 Dose,States/Local Areas,North Dakota,2020-2021,Age,19 Months,83.1,76.9 to 87.8,391
Hib,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,19 Months,85.3,79.6 to 89.6,391
Combined 7 Series,,States/Local Areas,North Dakota,2021,Age,24 Months,72.1,61.3 to 82.1,143
Hep B,"≥1 Dose, 1 Day",States/Local Areas,North Dakota,2020-2021,Age,0-1 Days,84.5,78.6 to 88.9,391
Hib,Primary Series,States/Local Areas,North Dakota,2020-2021,Age,35 Months,92.4,88.1 to 95.6,391
Hib,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,35 Months,88.8,83.8 to 92.8,391
Hep B,≥2 Doses,States/Local Areas,North Dakota,2021,Age,13 Months,92.2,86.0 to 95.8,143
≥1 Dose Varicella,,States/Local Areas,North Dakota,2021,Age,35 Months,88.6,78.3 to 95.4,143
Rotavirus,,States/Local Areas,North Dakota,2020-2021,Age,8 Months,77.6,71.0 to 83.0,391
PCV,≥4 Doses,States/Local Areas,North Dakota,2020-2021,Age,19 Months,79.4,72.9 to 84.6,391
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,North Dakota,2020-2021,Age,0-3 Days,86.9,81.6 to 90.9,391
DTaP,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,24 Months,90.3,86.0 to 93.7,391
Polio,≥2 Doses,States/Local Areas,North Dakota,2020-2021,Age,5 Months,78.9,72.6 to 84.1,391
PCV,≥4 Doses,States/Local Areas,North Dakota,2020-2021,Age,35 Months,80.6,74.4 to 86.0,391
Polio,≥2 Doses,States/Local Areas,North Dakota,2020-2021,Age,7 Months,87.5,82.1 to 91.4,391
≥1 Dose MMR,,States/Local Areas,North Dakota,2020-2021,Age,35 Months,91,85.0 to 95.2,391
≥1 Dose Varicella,,States/Local Areas,North Dakota,2020-2021,Age,19 Months,84.1,77.9 to 88.8,391
Hep B,≥2 Doses,States/Local Areas,North Dakota,2020-2021,Age,7 Months,90.3,85.5 to 93.6,391
DTaP,≥3 Doses,States/Local Areas,North Dakota,2021,Age,35 Months,93.4,85.5 to 97.8,143
Hib,Full Series,States/Local Areas,North Dakota,2021,Age,35 Months,78.7,68.9 to 87.1,143
Hib,Primary Series,States/Local Areas,North Dakota,2020-2021,Age,7 Months,76.3,69.7 to 81.9,391
Polio,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,35 Months,93.6,89.0 to 96.7,391
DTaP,≥4 Doses,States/Local Areas,North Dakota,2020-2021,Age,19 Months,68.8,61.8 to 75.1,391
DTaP,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,7 Months,73.6,67.0 to 79.3,391
Hib,≥2 Doses,States/Local Areas,North Dakota,2020-2021,Age,5 Months,78.6,72.2 to 83.8,391
Hep B,≥2 Doses,States/Local Areas,North Dakota,2020-2021,Age,5 Months,89.2,84.4 to 92.7,391
Polio,≥1 Dose,States/Local Areas,North Dakota,2020-2021,Age,3 Months,87.3,82.2 to 91.1,391
Hib,Primary Series,States/Local Areas,North Dakota,2021,Age,35 Months,91.1,83.9 to 96.0,143
Rotavirus,,States/Local Areas,North Dakota,2021,Age,8 Months,77.2,66.5 to 85.2,143
Hib,≥3 Doses,States/Local Areas,North Dakota,2021,Age,13 Months,68.6,57.9 to 77.7,143
PCV,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,24 Months,90.5,86.2 to 93.9,391
Polio,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,19 Months,90.3,85.7 to 93.6,391
Hib,≥2 Doses,States/Local Areas,North Dakota,2021,Age,13 Months,89.8,82.2 to 94.3,143
Hep B,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,24 Months,92.3,88.4 to 95.3,391
PCV,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,13 Months,87.4,82.1 to 91.4,391
Hep A,≥2 Doses,States/Local Areas,North Dakota,2020-2021,Age,24 Months,58,50.6 to 65.6,391
≥1 Dose MMR,,States/Local Areas,North Dakota,2020-2021,Age,19 Months,83.8,77.6 to 88.5,391
Polio,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,24 Months,90.3,86.0 to 93.7,391
Hep A,≥2 Doses,States/Local Areas,North Dakota,2020-2021,Age,35 Months,79.7,71.2 to 87.1,391
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,North Dakota,2021,Age,0-3 Days,84.1,74.9 to 90.4,143
Hib,≥3 Doses,States/Local Areas,North Dakota,2021,Age,35 Months,89.6,82.0 to 94.9,143
PCV,≥1 Dose,States/Local Areas,North Dakota,2020-2021,Age,3 Months,86.5,81.2 to 90.4,391
DTaP,≥2 Doses,States/Local Areas,North Dakota,2020-2021,Age,5 Months,78.9,72.5 to 84.1,391
Hib,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,13 Months,64.5,57.6 to 70.9,391
Hep B,≥1 Dose,States/Local Areas,North Dakota,2020-2021,Age,3 Months,95.1,91.7 to 97.2,391
Hib,≥2 Doses,States/Local Areas,North Dakota,2020-2021,Age,7 Months,87.4,82.0 to 91.3,391
≥1 Dose Varicella,,States/Local Areas,North Dakota,2020-2021,Age,13 Months,61.7,54.5 to 68.5,391
DTaP,≥3 Doses,States/Local Areas,North Dakota,2021,Age,24 Months,89.4,82.6 to 94.4,143
≥1 Dose MMR,,States/Local Areas,North Dakota,2021,Age,13 Months,62.7,51.1 to 73.0,143
Hib,≥3 Doses,States/Local Areas,North Dakota,2020-2021,Age,7 Months,47.1,40.0 to 54.4,391
Hep A,≥1 Dose,States/Local Areas,North Dakota,2020-2021,Age,24 Months,84.3,78.5 to 89.3,391
Polio,≥2 Doses,States/Local Areas,North Dakota,2021,Age,13 Months,89.9,82.3 to 94.4,143
PCV,≥3 Doses,States/Local Areas,North Dakota,2016-2019,Insurance Coverage,Private Insurance Only,95.8,93.6 to 97.9,695
Hib,Full Series,States/Local Areas,North Dakota,2016-2019,Insurance Coverage,Private Insurance Only,87.6,83.8 to 91.5,695
Influenza,,States/Local Areas,North Dakota,2014-2017,Overall,Overall,66.1,62.3 to 70.0,830
Influenza,,States/Local Areas,North Dakota,2014-2017,Poverty,<133% FPL,54.8,45.7 to 64.0,155
Influenza,,States/Local Areas,North Dakota,2014-2017,Poverty,133% to <400% FPL,65.2,59.7 to 70.8,408
Hib,Full Series,States/Local Areas,North Dakota,2020-2021,Age,24 Months,79.6,73.4 to 85.2,391
Influenza,,States/Local Areas,North Dakota,2021,Age,24 Months,64.9,54.1 to 75.6,143
Hep B,≥1 Dose,States/Local Areas,North Dakota,2021,Age,3 Months,93.4,87.4 to 96.6,143
Hep A,≥2 Doses,States/Local Areas,North Dakota,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",63.7,49.5 to 77.9,120
PCV,≥4 Doses,States/Local Areas,North Dakota,2016-2019,Insurance Coverage,Private Insurance Only,90.7,87.7 to 93.6,695
Influenza,,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,"White, Non-Hispanic",68.4,64.1 to 72.6,637
Influenza,,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a MSA Principal City,75.9,70.2 to 81.6,285
Influenza,,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a MSA Non-Principal City,67,56.9 to 77.1,124
Influenza,,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a Non-MSA,57.2,51.5 to 62.9,421
Hib,Full Series,States/Local Areas,North Dakota,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",78.9,69.4 to 88.3,120
Influenza,,States/Local Areas,North Dakota,2014-2017,Insurance Coverage,Private Insurance Only,72.9,68.6 to 77.2,562
Influenza,,States/Local Areas,North Dakota,2014-2017,Insurance Coverage,Other,52.1,33.1 to 71.1,42
Influenza,,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,Hispanic,53.6,37.2 to 69.9,48
Influenza,,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",65,54.5 to 75.4,123
Influenza,,States/Local Areas,North Dakota,2014-2017,Insurance Coverage,Any Medicaid,55.9,48.1 to 63.8,209
Influenza,,States/Local Areas,North Dakota,2016,Age,24 Months,72.2,65.0 to 79.0,227
Influenza,,States/Local Areas,North Dakota,2016-2017,Age,24 Months,69.1,64.0 to 74.1,525
Influenza,,States/Local Areas,North Dakota,2017,Age,24 Months,66,58.8 to 73.0,298
Influenza,,States/Local Areas,North Dakota,2017-2018,Age,24 Months,70.1,64.8 to 75.2,591
Influenza,,States/Local Areas,North Dakota,2018,Age,24 Months,74.5,66.8 to 81.7,293
Influenza,,States/Local Areas,North Dakota,2018-2019,Age,24 Months,75.7,70.5 to 80.7,556
Influenza,,States/Local Areas,North Dakota,2014-2017,Poverty,>400% FPL,76.5,70.7 to 82.4,267
Hep A,≥2 Doses,States/Local Areas,North Dakota,2016-2019,Race and Ethnicity,"White, Non-Hispanic",85.3,80.2 to 90.5,795
Hep A,≥1 Dose,States/Local Areas,North Dakota,2016-2019,Insurance Coverage,Any Medicaid,87.5,82.4 to 92.6,236
Hep A,≥1 Dose,States/Local Areas,North Dakota,2016-2019,Insurance Coverage,Private Insurance Only,92.3,89.4 to 95.2,695
Influenza,,States/Local Areas,North Dakota,2019,Age,24 Months,77,70.0 to 83.5,263
Hib,Full Series,States/Local Areas,North Dakota,2014-2017,Insurance Coverage,Other,82.7,70.4 to 95.0,42
DTaP,≥3 Doses,States/Local Areas,North Dakota,2016,Age,19 Months,91.5,86.3 to 94.9,227
DTaP,≥3 Doses,States/Local Areas,North Dakota,2016-2017,Age,19 Months,90.8,87.2 to 93.4,525
DTaP,≥3 Doses,States/Local Areas,North Dakota,2015,Age,19 Months,95,91.8 to 97.0,217
DTaP,≥3 Doses,States/Local Areas,North Dakota,2015-2016,Age,19 Months,93.3,90.0 to 95.5,444
DTaP,≥3 Doses,States/Local Areas,North Dakota,2014,Age,19 Months,94,89.7 to 96.6,230
DTaP,≥3 Doses,States/Local Areas,North Dakota,2014-2015,Age,19 Months,94.5,91.8 to 96.3,447
DTaP,≥3 Doses,States/Local Areas,North Dakota,2017,Age,19 Months,90,84.5 to 93.6,298
DTaP,≥3 Doses,States/Local Areas,North Dakota,2017-2018,Age,19 Months,92.5,89.2 to 94.8,591
Hib,≥3 Doses,States/Local Areas,North Dakota,2016,Age,19 Months,89,83.3 to 92.9,227
Hib,≥3 Doses,States/Local Areas,North Dakota,2016-2017,Age,19 Months,87.8,83.9 to 90.8,525
Polio,≥3 Doses,States/Local Areas,North Dakota,2016,Age,24 Months,93.9,90.0 to 96.7,227
Polio,≥3 Doses,States/Local Areas,North Dakota,2016-2017,Age,24 Months,93.2,90.4 to 95.4,525
Hib,≥3 Doses,States/Local Areas,North Dakota,2017,Age,19 Months,86.6,80.8 to 90.8,298
Hib,≥3 Doses,States/Local Areas,North Dakota,2017-2018,Age,19 Months,86.3,82.1 to 89.6,591
Hib,≥3 Doses,States/Local Areas,North Dakota,2018,Age,19 Months,86,79.3 to 90.8,293
Hib,≥3 Doses,States/Local Areas,North Dakota,2018-2019,Age,19 Months,72.8,67.4 to 77.5,556
Polio,≥3 Doses,States/Local Areas,North Dakota,2013,Age,24 Months,89.6,83.4 to 94.3,237
Polio,≥3 Doses,States/Local Areas,North Dakota,2013-2014,Age,24 Months,92,88.4 to 94.8,467
Hib,≥3 Doses,States/Local Areas,North Dakota,2013,Age,19 Months,83.9,62.7 to 94.2,237
Hib,≥3 Doses,States/Local Areas,North Dakota,2013-2014,Age,19 Months,85.9,78.2 to 91.2,467
Hib,≥3 Doses,States/Local Areas,North Dakota,2014,Age,19 Months,87.8,81.8 to 92.0,230
Hib,≥3 Doses,States/Local Areas,North Dakota,2014-2015,Age,19 Months,89.9,86.3 to 92.7,447
Polio,≥3 Doses,States/Local Areas,North Dakota,2012,Age,24 Months,92.6,88.1 to 95.9,294
Polio,≥3 Doses,States/Local Areas,North Dakota,2011,Age,24 Months,91.8,86.8 to 95.5,299
Polio,≥3 Doses,States/Local Areas,North Dakota,2018,Age,19 Months,94.6,90.3 to 97.1,293
Polio,≥3 Doses,States/Local Areas,North Dakota,2018-2019,Age,19 Months,70.3,64.8 to 75.3,556
Polio,≥3 Doses,States/Local Areas,North Dakota,2019,Age,19 Months,92.8,87.3 to 96.0,263
Polio,≥3 Doses,States/Local Areas,North Dakota,2014,Age,24 Months,94.2,90.2 to 96.9,230
Polio,≥3 Doses,States/Local Areas,North Dakota,2014-2015,Age,24 Months,94.3,91.7 to 96.3,447
Polio,≥3 Doses,States/Local Areas,North Dakota,2015,Age,24 Months,94.4,90.6 to 97.0,217
Polio,≥3 Doses,States/Local Areas,North Dakota,2015-2016,Age,24 Months,94.1,91.4 to 96.3,444
Polio,≥2 Doses,States/Local Areas,North Dakota,2020,Age,13 Months,93.7,88.4 to 96.6,248
Hib,≥3 Doses,States/Local Areas,North Dakota,2015,Age,19 Months,92.1,89.7 to 94.0,217
Hib,≥3 Doses,States/Local Areas,North Dakota,2015-2016,Age,19 Months,90.6,87.0 to 93.3,444
DTaP,≥3 Doses,States/Local Areas,North Dakota,2011,Age,24 Months,94.6,90.3 to 97.4,299
Hib,Full Series,States/Local Areas,North Dakota,2015,Age,24 Months,86.8,81.1 to 91.4,217
Hib,Full Series,States/Local Areas,North Dakota,2015-2016,Age,24 Months,86.4,82.4 to 89.9,444
DTaP,≥3 Doses,States/Local Areas,North Dakota,2013,Age,24 Months,90.9,84.8 to 95.3,237
DTaP,≥3 Doses,States/Local Areas,North Dakota,2013-2014,Age,24 Months,93.1,89.7 to 95.7,467
DTaP,≥3 Doses,States/Local Areas,North Dakota,2012,Age,24 Months,94.4,90.1 to 97.3,294
Polio,≥3 Doses,States/Local Areas,North Dakota,2017,Age,24 Months,92.5,88.2 to 95.6,298
Polio,≥3 Doses,States/Local Areas,North Dakota,2017-2018,Age,24 Months,93.7,90.9 to 95.9,591
Hib,≥3 Doses,States/Local Areas,North Dakota,2019,Age,19 Months,87.9,81.9 to 92.1,263
Polio,≥3 Doses,States/Local Areas,North Dakota,2019,Age,24 Months,95.6,91.5 to 98.1,263
Polio,≥3 Doses,States/Local Areas,North Dakota,2018,Age,24 Months,95,91.1 to 97.6,293
Polio,≥3 Doses,States/Local Areas,North Dakota,2018-2019,Age,24 Months,95.3,92.6 to 97.2,556
Polio,≥3 Doses,States/Local Areas,North Dakota,2011,Age,35 Months,92.2,86.9 to 96.0,299
Hib,Full Series,States/Local Areas,North Dakota,2018,Age,24 Months,89.3,84.1 to 93.4,293
Hib,Full Series,States/Local Areas,North Dakota,2018-2019,Age,24 Months,86,82.0 to 89.5,556
Hib,Full Series,States/Local Areas,North Dakota,2016,Age,24 Months,86.1,80.3 to 90.9,227
Hib,Full Series,States/Local Areas,North Dakota,2016-2017,Age,24 Months,84.7,80.5 to 88.4,525
Hib,Full Series,States/Local Areas,North Dakota,2017,Age,24 Months,83.2,77.0 to 88.5,298
Hib,Full Series,States/Local Areas,North Dakota,2017-2018,Age,24 Months,86.1,82.1 to 89.6,591
Polio,≥3 Doses,States/Local Areas,North Dakota,2015,Age,35 Months,94.4,90.6 to 97.0,217
Polio,≥3 Doses,States/Local Areas,North Dakota,2015-2016,Age,35 Months,94.5,91.8 to 96.6,444
Hib,≥3 Doses,States/Local Areas,North Dakota,2011,Age,24 Months,92.9,88.2 to 96.3,299
Hib,≥3 Doses,States/Local Areas,North Dakota,2012,Age,24 Months,93.6,89.2 to 96.7,294
Hib,≥3 Doses,States/Local Areas,North Dakota,2013,Age,24 Months,87,80.3 to 92.3,237
Hib,≥3 Doses,States/Local Areas,North Dakota,2013-2014,Age,24 Months,89.1,85.0 to 92.5,467
DTaP,≥2 Doses,States/Local Areas,North Dakota,2015,Age,5 Months,82.9,76.0 to 88.2,217
DTaP,≥2 Doses,States/Local Areas,North Dakota,2015-2016,Age,5 Months,83.4,78.8 to 87.1,444
Polio,≥3 Doses,States/Local Areas,North Dakota,2016,Age,35 Months,94.6,90.8 to 97.2,227
Polio,≥3 Doses,States/Local Areas,North Dakota,2016-2017,Age,35 Months,94.6,91.6 to 96.8,525
Polio,≥3 Doses,States/Local Areas,North Dakota,2017,Age,35 Months,94.5,89.4 to 97.6,298
Polio,≥3 Doses,States/Local Areas,North Dakota,2017-2018,Age,35 Months,95.4,92.1 to 97.6,591
DTaP,≥2 Doses,States/Local Areas,North Dakota,2014,Age,5 Months,79,71.4 to 85.1,230
DTaP,≥2 Doses,States/Local Areas,North Dakota,2014-2015,Age,5 Months,81,77.1 to 84.3,447
Hib,≥3 Doses,States/Local Areas,North Dakota,2014,Age,24 Months,91,86.0 to 94.7,230
Hib,≥3 Doses,States/Local Areas,North Dakota,2014-2015,Age,24 Months,92.7,89.7 to 95.1,447
Polio,≥3 Doses,States/Local Areas,North Dakota,2012,Age,35 Months,97.1,92.6 to 99.2,294
Hib,Full Series,States/Local Areas,North Dakota,2013,Age,35 Months,82,74.8 to 88.1,237
Hib,Full Series,States/Local Areas,North Dakota,2013-2014,Age,35 Months,85.3,80.6 to 89.4,467
Polio,≥3 Doses,States/Local Areas,North Dakota,2013,Age,35 Months,93.1,88.0 to 96.5,237
Polio,≥3 Doses,States/Local Areas,North Dakota,2013-2014,Age,35 Months,94.5,91.5 to 96.7,467
Polio,≥3 Doses,States/Local Areas,North Dakota,2014,Age,35 Months,95.8,92.1 to 98.1,230
Polio,≥3 Doses,States/Local Areas,North Dakota,2014-2015,Age,35 Months,95.2,92.7 to 97.1,447
Hib,Full Series,States/Local Areas,North Dakota,2019,Age,24 Months,82.9,76.7 to 88.2,263
Hib,Full Series,States/Local Areas,North Dakota,2012,Age,35 Months,83.1,76.4 to 88.7,294
Hib,Full Series,States/Local Areas,North Dakota,2011,Age,35 Months,82.3,74.3 to 89.1,299
Hib,Full Series,States/Local Areas,North Dakota,2016,Age,35 Months,87.6,81.7 to 92.3,227
Hib,Full Series,States/Local Areas,North Dakota,2016-2017,Age,35 Months,86.4,82.2 to 90.1,525
Polio,≥3 Doses,States/Local Areas,North Dakota,2018,Age,35 Months,96.3,91.9 to 98.7,293
Polio,≥3 Doses,States/Local Areas,North Dakota,2018-2019,Age,35 Months,96.2,93.5 to 98.0,556
Hib,Full Series,States/Local Areas,North Dakota,2017,Age,35 Months,85.2,78.9 to 90.4,298
