state,bill_number,1_include_in_brief,1_enacted_0_not_enacted,1_good_0_bad,text_description,comments
Alabama,AL SB 278,0,0,1,Would require private health plans and state Medicaid to cover influenza vaccines,
Alabama,AL HB 24,1,0,0,Would make it more convenient for parents to obtain religious exemptions ,Would also expand religious exemptions to public institutions of higher education
Alabama,AL HB 12,1,0,0,Would prohibit discrimination on the basis of vaccine refusal,
Alabama,AL SB 59,0,1,1,Allows dependents of military members to use military medical records as evidence of immunization receipt (instead of the routine state Blue Card process,NA
Alabama,AL HB 444,1,0,0,"Allows religious exemptions from immunization requirements for students attending religiously affiliated private schools, with documentation provided by a caregiver",NA
Alabama,AL HB 367,1,0,0,Prohibits governmental entities and county health departments from using public funds to produce or distribute materials that promote vaccination,NA
Alabama,AL SB 85,1,0,0,Specifies that religious exemptions to immunization requirements are permitted with a written declaration from a parent or guardian,NA
Alabama,NA,NA,NA,NA,NA,NA
Alaska,AK HB 279,1,0,0,Would restrict vaccination requirements to those with full FDA approval and require providers to provide documentation of vaccine risks and benefits before administration,
Alaska,AK HB 238,1,0,1,Would add AAP-recommended vaccines to list of vaccines covered by statewide immunization program and medical assistance,
Alaska,AK SB 147,0,0,1,Permits pharmacists to prescribe and administer vaccines,NA
Alaska,AK HB 238,0,0,0,"Allows parents or guardians to exempt their minor children from school immunization requirements by submitting a signed statement citing religious, medical, or philosophical objections",
Arizona,AZ HB 2086,1,0,0,Would restrict government entity from requiring any vaccine (notwithstanding school vaccination requirements),
Arizona,AZ HB 2248,1,0,0,"Would prohibit schools from requiring medical intervention for attendance, subject to Parents' Bill of Rights",
Arizona,AZ SB 1769,0,0,1,Would expand state child immunization reporting system to include adults,
Arizona,AZ SB 1016,0,0,0,Would prohibit employer discrimination based on religious exemption to vaccination,
Arizona,AZ HB 2335,0,0,0,"Would make it ""an act of unprofessional conduct"" for healthcare professional to deny service based on vaccination status",
Arizona,AZ SB 1194,0,0,0,"Would prohibit healthcare professional from denying care based on vaccination status and would impose civil penalty, even during public health emergency",
Arizona,AZ HB 2005,1,0,0,"Would prohibit healthcare professionals from denying care/providing ""less than the standard of care"" based on vaccination statutus, and would prohibit healthcare institutions from adopting policies that would do so",
Arizona,AZ HB 2774,0,0,0,Would require medical examiners to report any deaths found to be due to a condition or side effect associated with vaccine administration,
Arizona,AZ SB 1011,1,0,0,Would require medical examiners to review immunization history for all sudden and unexplained infant deaths and report these deaths to national case registry,
Arizona,AZ HB 2336,1,0,0,Would prohibit health insurers from including vaccine mandates as condition of coverage,
Arizona,AZ SB 1212,0,0,0,Would prohibit insurers from reimbursing at different rates based on vaccination status,
Arizona,AZ HB 2257,0,0,0,Prohibits using one's vaccination status when making foster care placement decisions,NA
Arizona,AZ HB 2514,0,1,0,"Outlines a Parental Bill of Rights, including a provision that emphasizes parents' right to exempt their children from immunizations",NA
Arizona,AZ HB 2063,0,0,0,Would require that communications regarding school vaccine mandates include information on the process for obtaining exemptions,NA
Arizona,AZ SB 1668,0,0,1,Codifies the requirement that insurers fully cover all vaccines recommended by the Advisory Committee on Immunization Practices (ACIP),NA
Arizona,AZ SB 1663,0,0,1,"Proposed expanding the state's immunization reporting system, currently focused on child immunization data, to routinely collect information on adult immunizations",NA
Arkansas,AR HB 1131,0,1,1,Allows registered nurses to delegate vaccinating authority to medical assistants,NA
Arkansas,AR HB 1132,0,1,1,Requires that any school parental communications about vaccines also include information about type 1 and type 2 diabetes,NA
Arkansas,AR HB 1619,1,1,1,"Requires the state Medicaid program to reimburse providers for administering RSV immunizations at the same rate as the Vaccines for Children (VFC) program, and prohibits civil liability against providers who administer these immunizations",NA
Arkansas,AR SB 6,1,0,0,"Allow pharmaceutical company officers to be held criminally liable for ""vaccine harm""",NA
Arkansas,AR HB 1135,0,1,1,Allows dependents of military members to use military medical records as evidence of immunization receipt (instead of the routine state Blue Card process,NA
California,CA AB 2510,0,0,0,Would exempt a family participating in a reunification case plan from specified immunization requirements,
California,CA AB 2651,1,0,1,Would require DPH to establish immunization coverage needed to prevent spread of disease and require department to notify parents when school rate has fallen below that level,
California,CA SB 829,0,0,1,"Would have established state funding for the development, production, procurement, and distribution of vaccines",
California,CA AB 1366,0,0,1,Would have increased reimbursement for advanced practice pharmacist servicees,
California,CA SB 290,1,0,0,Repeals the requirement that children must be immunized in order to receive CalWORKs benefits,NA
California,CA AB 2101,1,0,1,Establishes a state stockpile of vaccines,NA
California,CA SB 957,1,0,1,Establishes the inclusion of sexual orientation and gender identity data within the State Immunization Information System (IIS),NA
California ,CA SB 144,1,0,1,"Would authorize state to modify or supplement baseline vaccine recommendations, taking into account guidance from leading medical organizations",
Colorado,CO SB 26-032,1,1,1,Distances state immunization policy from ACIP recommendations and allows state to consider recommendations from AAP and other medical bodies,
Colorado,CO SB 196,1,1,1,"Specifies that if the Advisory Committee on Immunization Practices (ACIP) is repealed, modified, or otherwise ceases to operate, the commissioner of insurance retains the authority to require vaccine coverage by insurers",NA
Colorado,CO HB 1027,1,1,1,"Directs the State Board of Health to consider vaccination recommendations from the American Academy of Pediatrics (AAP) and other professional organizations, in addition to those from the Advisory Committee on Immunization Practices (ACIP), when establishing immunization requirements; Includes additional changes to school immunization provisions",NA
Connecticut,CT HB 5044,1,1,1,"Expands authority of commissioner of public health to determine state vaccine requirements, with less reliance on federal vaccine recommendations",
Connecticut,CT SB 526,1,0,0,"Would expand exemptions to state-mandated vaccination laws for school-aged children to allow philosophical exemptions based on personal, moral, or other beliefs",
Connecticut,CT HB 6174,1,0,0,Would allow students to recover actual and punitive damages for injuries or illnesses caused by a vaccination program if the state required the student to receive the vaccine as a condition of school admission,
Connecticut,CT HB 6581,1,0,1,"Would authorize pharmacists to administer vaccines to children, regardless of age",NA
Connecticut,CT HB 6614,1,0,0,Would reestablish religious exemptions for school vaccination requirements,NA
Connecticut,CT HB 6550,0,0,1,Would establish an annual public education campaign to inform residents about free and low-cost vaccines,NA
NA,NA,NA,NA,NA,NA,NA
Delaware,DE SB 180,1,1,1,"Pharmacists, pharmacy interns, and nationally certified pharmacy technicians who have completed an accredited training program, are currently trained in CPR, and have notified the Delaware Board of Pharmacy may administer immunizations via a prescriber's order or protocol for patients aged 3 years and older.",NA
Delaware,DE HB 225,1,1,1,"Provides for the reimbursement of vaccine administration fees to eligible providers for vaccines administered to eligible children under the Vaccines for Children (VFC) program, in accordance with rates set by the Division of Medicaid and Medical Assistance in conjunction with the CDC. If funding levels permit, these funds may also be used to upgrade and maintain the state immunization registry (DelVAX).",NA
Delaware,DE HB 338,1,0,1,"Would require insurers to cover without cost-sharing immunizations recommended by ACIP or other national clinical guidelines as of January 1, 2025",
Florida,FL HB 765,0,0,0,"Would remove requirement of ""large family child care homes"" to educate parents about the importance of influenza vaccination",
Florida,FL SR 1244,0,0,1,"Would recognize August 2026 as ""Immunization Awareness Month""",
District of Columbia,DC B26-0606,1,0,1,Would protect physicians from being held liable for claims resulting from vaccine administration,
Florida,FL SB 188,0,0,0,Similar to HB 819,
District of Columbia,DC B26-0414,1,0,1,"Allows providers to administer immunizations recommended by non-federal organizations (e.g., AAP)",
Florida,FL SB 110,0,0,1,"Would establish a Primary and Preventive Care Grant Program to provide funding to providers in rural areas of the state, which may be used to purchase vaccines",NA
District of Columbia,DC B 278,1,1,1,"Requires schools to annually distribute immunization information, including information on how to obtain immunizations, in languages other than English",Enacted- 1/23/2024
Florida,FL HB 917 & SB 1756,1,0,0,"Would add steps to vaccination consent process, allow for exemptions of conscience, require exemption form to be made publicly available on DoH website, and prohibit discrimination based on vaccination status",Died in committee
Montana,MT HB 118 (LC 1352)-,0,1,0,Provides a 30-day grace period for children of military families to adhere to school vaccination requirements,NA
Florida,FL HB 819,1,0,0,Would require medical examiners to review and document immunization history for all sudden and unexplained infant and child deaths and report these deaths to national case registry,Died in committee
Florida,FL SB 408 & HB 339,1,0,0,"Would hold manufacturers liable for vaccine harm if they advertise a vaccine in the state and that vaccine ""causes harm or injury""",Died in committee
Florida,FL SB 1752,1,0,1,Would establish a universal state health plan ('Florida Health Plan') that includes coverage for vaccines,NA
Montana,MT SB 285,0,0,0,Removes or modifies vaccine requirements for daycares and private schools,NA
Montana,NA,NA,NA,NA,NA,NA
Florida,FL SB 1299,1,1,0,Prohibits discrimination based on vaccination status in educational institutions,NA
