Vaccine,Dose,Geography Type,Geography,Birth Year/Birth Cohort,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Influenza,,HHS Regions/National,United States,2016-2019,Insurance Coverage,Uninsured,37.5,33.2 to 41.8,1616
Hep A,≥2 Doses,HHS Regions/National,United States,2016-2019,Insurance Coverage,Private Insurance Only,82.2,81.0 to 83.4,37121
Hep A,≥2 Doses,HHS Regions/National,United States,2016-2019,Insurance Coverage,Any Medicaid,75.3,73.6 to 77.0,22343
≥1 Dose Varicella,,HHS Regions/National,United States,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",90.1,88.7 to 91.6,8905
DTaP,≥4 Doses,HHS Regions/National,United States,2016-2019,Race and Ethnicity,"Black, Non-Hispanic",74.6,72.5 to 76.8,4715
DTaP,≥4 Doses,HHS Regions/National,United States,2016-2019,Race and Ethnicity,Hispanic,79.3,77.6 to 81.1,12650
Influenza,,States/Local Areas,Pennsylvania,2016-2019,Insurance Coverage,Uninsured,47.1,20.1 to 74.2,32
Influenza,,States/Local Areas,South Dakota,2016-2019,Insurance Coverage,Uninsured,62.6,40.5 to 84.6,32
Influenza,,States/Local Areas,TX-Bexar County,2016-2019,Insurance Coverage,Uninsured,45.5,27.1 to 64.0,40
Influenza,,States/Local Areas,TX-City of Houston,2016-2019,Insurance Coverage,Uninsured,36.5,17.2 to 55.7,34
Influenza,,States/Local Areas,TX-Rest of state,2016-2019,Insurance Coverage,Uninsured,29.8,18.9 to 40.7,133
Influenza,,States/Local Areas,Tennessee,2016-2019,Insurance Coverage,Uninsured,36.3,15.1 to 57.6,41
Influenza,,States/Local Areas,Texas,2016-2019,Insurance Coverage,Uninsured,31.7,22.9 to 40.5,250
Influenza,,States/Local Areas,Utah,2016-2019,Insurance Coverage,Uninsured,37.4,18.6 to 56.2,44
Influenza,,States/Local Areas,Wyoming,2016-2019,Insurance Coverage,Uninsured,44.5,29.7 to 59.2,68
Hep A,≥1 Dose,States/Local Areas,Alabama,2016-2019,Race and Ethnicity,"White, Non-Hispanic",87.1,83.7 to 90.5,632
Hep A,≥1 Dose,States/Local Areas,Alaska,2016-2019,Race and Ethnicity,"White, Non-Hispanic",85.1,81.1 to 89.1,471
Hep A,≥1 Dose,States/Local Areas,Arizona,2016-2019,Race and Ethnicity,"White, Non-Hispanic",89.8,85.9 to 93.7,468
Hep A,≥1 Dose,States/Local Areas,Arkansas,2016-2019,Race and Ethnicity,"White, Non-Hispanic",85.4,81.9 to 89.0,866
Hep A,≥1 Dose,States/Local Areas,California,2016-2019,Race and Ethnicity,"White, Non-Hispanic",86.9,80.6 to 93.2,682
Hep A,≥1 Dose,States/Local Areas,Colorado,2016-2019,Race and Ethnicity,"White, Non-Hispanic",85.3,81.0 to 89.5,610
Hep A,≥1 Dose,States/Local Areas,Connecticut,2016-2019,Race and Ethnicity,"White, Non-Hispanic",93.2,90.0 to 96.4,506
Hep B,≥3 Doses,States/Local Areas,Alabama,2016-2019,Insurance Coverage,Private Insurance Only,94.6,91.8 to 97.4,454
Hep B,≥3 Doses,States/Local Areas,Alaska,2016-2019,Insurance Coverage,Private Insurance Only,92.7,89.6 to 95.8,450
Hep B,≥3 Doses,States/Local Areas,Arizona,2016-2019,Insurance Coverage,Private Insurance Only,90.9,88.1 to 93.7,547
Hep B,≥3 Doses,States/Local Areas,Arkansas,2016-2019,Insurance Coverage,Private Insurance Only,93,89.4 to 96.6,528
Hep B,≥3 Doses,States/Local Areas,California,2016-2019,Insurance Coverage,Private Insurance Only,92.8,90.0 to 95.6,1171
Hep B,≥3 Doses,States/Local Areas,Colorado,2016-2019,Insurance Coverage,Private Insurance Only,94.4,91.4 to 97.3,624
Hep B,≥3 Doses,States/Local Areas,Connecticut,2016-2019,Insurance Coverage,Private Insurance Only,94.8,91.9 to 97.7,595
Hep B,≥3 Doses,States/Local Areas,Delaware,2016-2019,Insurance Coverage,Private Insurance Only,93.5,91.0 to 96.0,452
Hep B,≥3 Doses,States/Local Areas,District of Columbia,2016-2019,Insurance Coverage,Private Insurance Only,94.4,92.3 to 96.5,792
Hep B,≥3 Doses,States/Local Areas,Florida,2016-2019,Insurance Coverage,Private Insurance Only,93,90.0 to 96.1,671
Hep B,≥3 Doses,States/Local Areas,Georgia,2016-2019,Insurance Coverage,Private Insurance Only,94.3,91.9 to 96.7,629
Hep B,≥3 Doses,States/Local Areas,Hawaii,2016-2019,Insurance Coverage,Private Insurance Only,88.1,84.7 to 91.5,535
Hep B,≥3 Doses,States/Local Areas,IL-City of Chicago,2016-2019,Insurance Coverage,Private Insurance Only,96,93.3 to 98.6,333
Hep B,≥3 Doses,States/Local Areas,IL-Rest of state,2016-2019,Insurance Coverage,Private Insurance Only,94.8,92.9 to 96.6,851
Hep B,≥3 Doses,States/Local Areas,Idaho,2016-2019,Insurance Coverage,Private Insurance Only,94.9,92.9 to 96.9,741
Hep B,≥3 Doses,States/Local Areas,Illinois,2016-2019,Insurance Coverage,Private Insurance Only,95,93.4 to 96.6,1184
Hep B,≥3 Doses,States/Local Areas,Indiana,2016-2019,Insurance Coverage,Private Insurance Only,94.3,92.0 to 96.7,519
Hep B,≥3 Doses,States/Local Areas,Iowa,2016-2019,Insurance Coverage,Private Insurance Only,96.7,95.0 to 98.4,469
Hep B,≥3 Doses,States/Local Areas,Kansas,2016-2019,Insurance Coverage,Private Insurance Only,95.9,94.0 to 97.7,749
Hep B,≥3 Doses,States/Local Areas,Kentucky,2016-2019,Insurance Coverage,Private Insurance Only,94.9,92.3 to 97.5,467
Hep B,≥3 Doses,States/Local Areas,Louisiana,2016-2019,Insurance Coverage,Private Insurance Only,94,90.7 to 97.4,609
Hep A,≥2 Doses,States/Local Areas,Alabama,2016-2019,Insurance Coverage,Private Insurance Only,75.7,68.7 to 82.8,454
Hep A,≥2 Doses,States/Local Areas,Alaska,2016-2019,Insurance Coverage,Private Insurance Only,83.3,77.3 to 89.4,450
Hep A,≥2 Doses,States/Local Areas,Arizona,2016-2019,Insurance Coverage,Private Insurance Only,77.3,71.5 to 83.1,547
Hep A,≥2 Doses,States/Local Areas,Arkansas,2016-2019,Insurance Coverage,Private Insurance Only,82.3,75.1 to 89.5,528
Hep A,≥2 Doses,States/Local Areas,California,2016-2019,Insurance Coverage,Private Insurance Only,77.7,71.7 to 83.6,1171
Hep A,≥2 Doses,States/Local Areas,Colorado,2016-2019,Insurance Coverage,Private Insurance Only,81.8,76.3 to 87.4,624
Hep A,≥2 Doses,States/Local Areas,Connecticut,2016-2019,Insurance Coverage,Private Insurance Only,89.6,84.7 to 94.5,595
Hep A,≥2 Doses,States/Local Areas,Delaware,2016-2019,Insurance Coverage,Private Insurance Only,87.9,82.6 to 93.1,452
Hep A,≥2 Doses,States/Local Areas,District of Columbia,2016-2019,Insurance Coverage,Private Insurance Only,87.3,83.0 to 91.7,792
Hep A,≥2 Doses,States/Local Areas,Florida,2016-2019,Insurance Coverage,Private Insurance Only,74.4,65.7 to 83.2,671
Hep A,≥2 Doses,States/Local Areas,Georgia,2016-2019,Insurance Coverage,Private Insurance Only,83.2,76.6 to 89.8,629
Hep A,≥2 Doses,States/Local Areas,Hawaii,2016-2019,Insurance Coverage,Private Insurance Only,77.5,70.6 to 84.3,535
Hep A,≥2 Doses,States/Local Areas,IL-City of Chicago,2016-2019,Insurance Coverage,Private Insurance Only,87.5,80.9 to 94.1,333
Hep A,≥2 Doses,States/Local Areas,IL-Rest of state,2016-2019,Insurance Coverage,Private Insurance Only,81.8,77.2 to 86.4,851
Hep A,≥2 Doses,States/Local Areas,Idaho,2016-2019,Insurance Coverage,Private Insurance Only,81.4,76.6 to 86.3,741
Hep A,≥2 Doses,States/Local Areas,Illinois,2016-2019,Insurance Coverage,Private Insurance Only,83.1,79.2 to 86.9,1184
Hep A,≥2 Doses,States/Local Areas,Indiana,2016-2019,Insurance Coverage,Private Insurance Only,84.8,79.2 to 90.4,519
Hep A,≥2 Doses,States/Local Areas,Iowa,2016-2019,Insurance Coverage,Private Insurance Only,82.5,76.7 to 88.3,469
Hep A,≥2 Doses,States/Local Areas,Kansas,2016-2019,Insurance Coverage,Private Insurance Only,87,81.9 to 92.0,749
Hep A,≥2 Doses,States/Local Areas,Kentucky,2016-2019,Insurance Coverage,Private Insurance Only,83.3,77.1 to 89.5,467
Hep A,≥2 Doses,States/Local Areas,Louisiana,2016-2019,Insurance Coverage,Private Insurance Only,79.1,71.6 to 86.6,609
Hep A,≥2 Doses,States/Local Areas,Maine,2016-2019,Insurance Coverage,Private Insurance Only,86.6,82.1 to 91.0,522
Hep A,≥2 Doses,States/Local Areas,Maryland,2016-2019,Insurance Coverage,Private Insurance Only,84.8,81.0 to 88.6,1716
Hep A,≥2 Doses,States/Local Areas,Massachusetts,2016-2019,Insurance Coverage,Private Insurance Only,91.1,86.2 to 95.9,895
Hep A,≥2 Doses,States/Local Areas,Michigan,2016-2019,Insurance Coverage,Private Insurance Only,88.4,84.5 to 92.3,808
Hep A,≥2 Doses,States/Local Areas,Minnesota,2016-2019,Insurance Coverage,Private Insurance Only,88,82.8 to 93.2,721
Hep A,≥2 Doses,States/Local Areas,Mississippi,2016-2019,Insurance Coverage,Private Insurance Only,61.9,54.9 to 69.0,541
Hep A,≥2 Doses,States/Local Areas,Missouri,2016-2019,Insurance Coverage,Private Insurance Only,84.3,78.9 to 89.7,793
Hep A,≥2 Doses,States/Local Areas,Montana,2016-2019,Insurance Coverage,Private Insurance Only,74.1,68.4 to 79.8,493
Hep A,≥2 Doses,States/Local Areas,NY-City of New York,2016-2019,Insurance Coverage,Private Insurance Only,74.4,67.8 to 80.9,757
Hep A,≥2 Doses,States/Local Areas,NY-Rest of state,2016-2019,Insurance Coverage,Private Insurance Only,81.3,72.7 to 89.9,557
Hep A,≥2 Doses,States/Local Areas,Nebraska,2016-2019,Insurance Coverage,Private Insurance Only,81.9,76.4 to 87.4,597
Hep A,≥2 Doses,States/Local Areas,Nevada,2016-2019,Insurance Coverage,Private Insurance Only,88.6,82.3 to 95.0,659
Hep A,≥2 Doses,States/Local Areas,New Hampshire,2016-2019,Insurance Coverage,Private Insurance Only,88.6,84.3 to 92.8,563
Hep A,≥2 Doses,States/Local Areas,New Jersey,2016-2019,Insurance Coverage,Private Insurance Only,75.8,69.1 to 82.6,695
Hep A,≥2 Doses,States/Local Areas,New Mexico,2016-2019,Insurance Coverage,Private Insurance Only,86,80.9 to 91.2,555
Hep A,≥2 Doses,States/Local Areas,New York,2016-2019,Insurance Coverage,Private Insurance Only,78.2,72.5 to 83.9,1314
Hep A,≥2 Doses,States/Local Areas,North Carolina,2016-2019,Insurance Coverage,Private Insurance Only,84.8,78.9 to 90.8,656
Hep A,≥2 Doses,States/Local Areas,North Dakota,2016-2019,Insurance Coverage,Private Insurance Only,86.8,81.0 to 92.6,695
Hep A,≥2 Doses,States/Local Areas,Ohio,2016-2019,Insurance Coverage,Private Insurance Only,81.7,76.2 to 87.2,757
Hep A,≥2 Doses,States/Local Areas,Oklahoma,2016-2019,Insurance Coverage,Private Insurance Only,75.8,68.8 to 82.8,368
Hep A,≥2 Doses,States/Local Areas,Oregon,2016-2019,Insurance Coverage,Private Insurance Only,84,77.9 to 90.2,486
Hep A,≥2 Doses,States/Local Areas,PA-Philadelphia,2016-2019,Insurance Coverage,Private Insurance Only,86.3,79.8 to 92.9,303
Hep A,≥2 Doses,States/Local Areas,PA-Rest of state,2016-2019,Insurance Coverage,Private Insurance Only,89.2,85.4 to 93.0,941
Hep A,≥2 Doses,States/Local Areas,Pennsylvania,2016-2019,Insurance Coverage,Private Insurance Only,89,85.5 to 92.6,1244
Hep A,≥2 Doses,States/Local Areas,Rhode Island,2016-2019,Insurance Coverage,Private Insurance Only,91.1,86.8 to 95.3,487
Hep A,≥2 Doses,States/Local Areas,South Carolina,2016-2019,Insurance Coverage,Private Insurance Only,86.4,81.6 to 91.2,507
Hep A,≥2 Doses,States/Local Areas,South Dakota,2016-2019,Insurance Coverage,Private Insurance Only,83.4,78.8 to 88.1,790
Hep A,≥2 Doses,States/Local Areas,TX-Bexar County,2016-2019,Insurance Coverage,Private Insurance Only,73.4,65.9 to 80.9,376
Hep A,≥2 Doses,States/Local Areas,TX-City of Houston,2016-2019,Insurance Coverage,Private Insurance Only,89.6,83.7 to 95.4,286
Hep A,≥2 Doses,States/Local Areas,TX-Dallas County,2016-2019,Insurance Coverage,Private Insurance Only,77.8,62.2 to 93.4,98
