fips,county,state,longitude,latitude,cases_total,type,count
,Allegan,Michigan,-85.8883,42.5913,1,imported,0
,Allegan,Michigan,-85.8883,42.5913,1,local,1
,Allen,Indiana,-85.0665,41.0909,8,imported,0
,Allen,Indiana,-85.0665,41.0909,8,local,8
,Allen,Ohio,-84.1058,40.7715,1,imported,1
,Allen,Ohio,-84.1058,40.7715,1,local,0
,Anchorage,Alaska,-149.1082,61.1498,2,imported,1
,Anchorage,Alaska,-149.1082,61.1498,2,local,1
,Andrews,Texas,-102.6377,32.305,3,imported,0
,Andrews,Texas,-102.6377,32.305,3,local,3
,Arapahoe,Colorado,-104.3393,39.6498,4,imported,4
,Arapahoe,Colorado,-104.3393,39.6498,4,local,0
,Archuleta,Colorado,-107.0483,37.1935,1,imported,0
,Archuleta,Colorado,-107.0483,37.1935,1,local,1
,Ashtabula,Ohio,-80.7482,41.7072,16,imported,3
,Ashtabula,Ohio,-80.7482,41.7072,16,local,13
,Atascosa,Texas,-98.5272,28.8935,1,imported,0
,Atascosa,Texas,-98.5272,28.8935,1,local,1
,Bailey,Texas,-102.8299,34.0686,2,imported,0
,Bailey,Texas,-102.8299,34.0686,2,local,2
,Bell,Texas,-97.4788,31.0373,1,imported,0
,Bell,Texas,-97.4788,31.0373,1,local,1
,Benton,Arkansas,-94.2561,36.3387,1,imported,0
,Benton,Arkansas,-94.2561,36.3387,1,local,1
,Bergen,New Jersey,-74.0742,40.9597,3,imported,1
,Bergen,New Jersey,-74.0742,40.9597,3,local,2
,Bexar,Texas,-98.52,29.4489,1,imported,0
,Bexar,Texas,-98.52,29.4489,1,local,1
,Borden,Texas,-101.4317,32.7436,1,imported,0
,Borden,Texas,-101.4317,32.7436,1,local,1
,Boulder,Colorado,-105.3577,40.0925,1,imported,1
,Boulder,Colorado,-105.3577,40.0925,1,local,0
,Brazoria,Texas,-95.4521,29.1898,1,imported,0
,Brazoria,Texas,-95.4521,29.1898,1,local,1
,Brewster,Texas,-103.2517,29.8119,1,imported,0
,Brewster,Texas,-103.2517,29.8119,1,local,1
,Broward,Florida,-80.4871,26.1523,1,imported,0
,Broward,Florida,-80.4871,26.1523,1,local,1
,Brown,Texas,-98.9998,31.7742,1,imported,0
,Brown,Texas,-98.9998,31.7742,1,local,1
,Bucks,Pennsylvania,-75.1069,40.337,1,imported,1
,Bucks,Pennsylvania,-75.1069,40.337,1,local,0
,Burke,North Dakota,-102.5182,48.791,1,imported,1
,Burke,North Dakota,-102.5182,48.791,1,local,0
,Carbon,Wyoming,-106.9306,41.6944,5,imported,1
,Carbon,Wyoming,-106.9306,41.6944,5,local,4
,Carson,Texas,-101.3542,35.4035,1,imported,0
,Carson,Texas,-101.3542,35.4035,1,local,1
,Cascade,Montana,-111.347,47.308,1,imported,0
,Cascade,Montana,-111.347,47.308,1,local,1
,Cass,North Dakota,-97.248,46.933,7,imported,2
,Cass,North Dakota,-97.248,46.933,7,local,5
,Cedar,Missouri,-93.8566,37.7239,5,imported,0
,Cedar,Missouri,-93.8566,37.7239,5,local,5
,Central,Iowa,-93.40754375,41.84471875,1,imported,0
,Central,Iowa,-93.40754375,41.84471875,1,local,1
,Chaves,New Mexico,-104.4669,33.3633,1,imported,0
,Chaves,New Mexico,-104.4669,33.3633,1,local,1
,Cochran,Texas,-102.8285,33.6042,14,imported,0
,Cochran,Texas,-102.8285,33.6042,14,local,14
,Collin,Texas,-96.5724,33.188,4,imported,0
,Collin,Texas,-96.5724,33.188,4,local,4
,Cook,Illinois,-87.8168,41.8401,6,imported,1
,Cook,Illinois,-87.8168,41.8401,6,local,5
,Curry,New Mexico,-103.347,34.5742,1,imported,0
,Curry,New Mexico,-103.347,34.5742,1,local,1
,Cuyahoga,Ohio,-81.6586,41.4243,1,imported,1
,Cuyahoga,Ohio,-81.6586,41.4243,1,local,0
,Dakota,Minnesota,-93.0654,44.6719,1,imported,0
,Dakota,Minnesota,-93.0654,44.6719,1,local,1
,Dallam,Texas,-102.6022,36.2779,7,imported,0
,Dallam,Texas,-102.6022,36.2779,7,local,7
,Dallas,Texas,-96.7778,32.7666,1,imported,0
,Dallas,Texas,-96.7778,32.7666,1,local,1
,Dawson,Texas,-101.9476,32.7426,26,imported,0
,Dawson,Texas,-101.9476,32.7426,26,local,26
,Defiance,Ohio,-84.4905,41.3239,1,imported,1
,Defiance,Ohio,-84.4905,41.3239,1,local,0
,Denton,Texas,-97.1168,33.2055,2,imported,0
,Denton,Texas,-97.1168,33.2055,2,local,2
,Denver,Colorado,-104.8758,39.762,4,imported,3
