State,Bill Number,1 Include in brief,1 Enacted 0 not enacted,1 Good 0 Bad,Text Description,Comments,Bill status,Bill valency 
Alabama,AL SB 59,0,1,1,Allows dependents of military members to use military medical records as evidence of immunization receipt (instead of the routine state Blue Card process,,Enacted,Good
Alabama,AL HB 444,1,0,0,Would require religious exceptions to be permitted for religious schools participating in school choice program. Exemptions would be permitted with a note from caregiver.,,Not enacted,Bad
Alabama,AL HB 367,1,0,0,Would limit the role of state and local government in actively promoting vaccination through public campaigns and advertising.,,Not enacted,Bad
Alabama,AL SB 85,1,0,0,Would allow parents or guardians to submit a written statement citing religious objections to vaccinations or testing without needing to provide further explanation or approval from school officials.,,Not enacted,Bad
Alabama,,,,,,,Not enacted,Bad
Alaska,SB147,1,0,1,Would allow for the prescription and administration of vaccines by pharmacists.,,Not enacted,Good
Arizona,AZ HB 2257,0,0,0,Prohibits using one’s vaccination status when making foster care placement decisions,,Not enacted,Bad
Arizona,AZ HB 2514,1,1,0,"Specifies a Parental Bill of Rights, one component of which emphasizes the right of parents to exempt their children from immunizations.",,Enacted,Bad
Arizona,AZ HB 2063,1,0,0,Would require that communications related to school vaccine requirements include information about obtaining an exemption.,,Not enacted,Bad
Arizona,AZ SB 1668,1,0,1,Would codify that insurers must fully cover all ACIP-recommended vaccines.,,Not enacted,Good
Arizona,AZ SB 1663,1,0,1,"Proposed expanding the immunization reporting system, currently focused on child immunization data, to routinely collect information on adult immunizations.",,Not enacted,Good
Arkansas,AR HB 1131,0,1,1,Allows registered nurses to delegate vaccinating authority to medical assistants,,Enacted,Good
Arkansas,AR HB 1132,1,1,1,Requires that any school parental communications about vaccines also include information about type 1 and type 2 diabetes.,,Enacted,Good
Arkansas,AR HB 1133,1,0,1,"Requires the state Medicaid program reimburse at the same rate as Vaccines for Children (VFC) for RSV immunization administration, prohibiting civil liability against providers who provide such immunizations.",,Not enacted,Good
Arkansas,AR HB 1134,1,1,1,"Specifies provider reimbursement rates and provides ""civil immunity"" for administration of RSV immunization products. ",,Enacted,Good
Arkansas,AR HB 1135,0,1,1,Allows dependents of military members to use military medical records as evidence of immunization receipt (instead of the routine state Blue Card process,,Enacted,Good
California,AR HB 1136,1,0,0,Would repeal the requirement that children be immunized to receive CalWORKs benefits.,,Not enacted,Bad
California,AR HB 1137,1,0,1,Would establish a state stockpile of vaccines.,,Not enacted,Good
California,AR HB 1138,1,0,1,Would establish sexual orientation and gender identity data inclusion within the IIS.,,Not enacted,Good
Colorado,AR HB 1139,1,1,1,"States that if the Advisory Committee on Immunization Practices (ACIP) is repealed, modified, or otherwise no longer in effect, the commissioner can still require that vaccines be covered by insurers.",,Enacted,Good
Colorado,AR HB 1140,1,1,1,"Makes a variety of changes to immunization statutes, including allowing PAs to create certificates of immunization and extending the deadline to notify parents of their school’s vaccination rate. ",,Enacted,Good
Connecticut,AR HB 1141,,0,1,Study pharmacist compensation for vaccine administration,,Not enacted,Good
Connecticut,AR HB 1142,1,0,1,Would authorize pharmacy technicians to vaccinate.,,Not enacted,Good
,,,,,,,Not enacted,Bad
Delaware,SB 180,1,1,1,"Pharmacists, pharmacy interns, and nationally-certified pharmacy technicians who have completed an accredited training program, are currently trained in CPR, and have notified the Delaware Board of Pharmacy may administer immunizations via a prescriber’s order or protocol for patients 3 years of age and older.",,Enacted,Good
Delaware,HB100,1,0,1,"Would have provided for the reimbursement of vaccine administration fees to eligible providers for vaccines administered to eligible children under the Vaccines for Children program in line with rates set by the Division of Medicaid and Medical Assistance in conjunction with the Centers for Disease Control and Prevention. If funding levels allow, these funds may also be spent as necessary to upgrade and maintain the immunization registry (DelVAX).",,Not enacted,Good
Florida,FL SB 110,1,0,1,"Would establish a Primary and Preventive Care Grant Program, which would provide funding to providers in rural parts of the state that could be used to purchase vaccines.",,Not enacted,Good
Florida,"FL SB 1752, & FL HB
1603 / 1605",1,0,1,"Would establish universal state health plans (""Florida Health Plan"") that cover vaccines.",,Not enacted,Good
Florida,FL SB 1299,1,1,0,Prohibits discrimination based on one’s vaccination status in educational institutions.,,Enacted,Bad
Montana,MT HB 118 (LC 1352)- ,0,1,0,Provides a 30-day grace period for children of military families to adhere to school vaccination requirements,,Enacted,Bad
Montana,MT SB 474 (LC 1427)-,1,0,0,Would require acceptance of religious and personal medical exemptions to required immunizations.,,Not enacted,Bad
Montana,MT LC 1384,1,0,1,Would direct the health department to seek a Medicaid waiver to cover all immunizations for individuals experiencing homelessness.,,Not enacted,Good
Montana,MT LC 2892,1,0,1,Would require each school to submit report with deidentified vaccine/exemption information to the state.,,Not enacted,Good
Montana,MT SB 285,1,0,0,Would remove/alter vaccine requirements for daycares and private schools.,,Not enacted,Bad
Montana,,,,,,,Not enacted,Bad
New Mexico,NM SB 508,1,0,1,Would codify that insurers must fully cover all ACIP-recommended vaccines.,,Not enacted,Good
New Mexico,,,,,,,Not enacted,Bad
North Dakota,HB 1519,1,0,0,"Would create and enact a new section to chapter 23-02.1 of the North Dakota Century Code, relating to death and vaccination records.",,Not enacted,Bad
North Dakota,HB 1519,1,0,0,"Would create and enact a new section to chapter 23-02.1 of the North Dakota Century Code, relating to death and vaccination records.",,Not enacted,Bad
South Dakota,SD SB 100,1,0,0,"Would prohibit adding any additional childhood vaccine requirements beyond those currently
required.",,Not enacted,Bad
Minnesota,MN HF 3219 & MN SF 3456,,0,0,Would designate mRNA vaccines as weapons of mass destruction and prohibit their use,Not eligible (only covers COVID at the moment) but still found interesting,Not enacted,Bad
Minnesota,MN HF 3239 & MN SF 3439,1,0,1,Would remove philosophical exemptions for MMR vaccination.,Died in committee,Not enacted,Good
Minnesota,MN HF 3240 & MN SF 3438,,0,1,Would establish a targeted grant program to address outbreaks of VPDs,Died in committee,Not enacted,Good
Minnesota,MN HF 3152,,0,0,Would prohibit administration of gene-based vaccines,Died in committee,Not enacted,Bad
Minnesota,MN HF 2884,,0,0,Would prohibit enforcement of government vaccine mandates and allow for proof of natural antibodies as vaccination alternative,Died in committee,Not enacted,Bad
Minnesota,MN HF 481 & SF 1529,,0,0,Would prohibit discrimination against individual who refuses medical interventions for reasons of conscience,Does not apply to children but found this interesting - died in committee,Not enacted,Bad
Minnesota,MN HF 22,1,0,0,Would create parent's bill of rights.,Died in committee,Not enacted,Bad
Minnesota,MN SF 717,,0,0,Would prohibit enforcement of government vaccine mandates ,Died in committee,Not enacted,Bad
Minnesota,MN SF 929 & HF 1812,1,0,1,Would establish state health plan.,Died in committee,Not enacted,Good
Minnesota,MN SF 698 & HF 2815,,0,0,Would prohibit local enforcement of federal vaccine passports,Died in committee,Not enacted,Bad
Minnesota,MN SF 839,1,0,0,Would require parent or legal guardian to be present for vaccination of a minor.,Died in committee,Not enacted,Bad
Minnesota,MN SF 694 & HF 92,1,0,0,Would establish bill of rights for vaccine recipients.,Died in committee,Not enacted,Bad
Minnesota,MN HF 2860 & SF 3048,,0,1,Would authorize local health departments to obtain vaccines and proposed form of epinephrine according to standing order,died in committee - not sure what this means exactly,Not enacted,Good
Minnesota,MN SF 389,,0,0,Would prohibit residence of public assistance benefits for families due to vaccination status,Died in committee but thought it was interesting,Not enacted,Bad
Mississippi,MS HB 1066,,1,0,Provides a 30-day grace period for children of military families to adhere to school vaccination requirements,I don't think this is new – maybe it was missing from the state legislation but it looks like this was already a thing in all states,Enacted,Bad
Mississippi,MS HB 563,1,0,0,Would exempt religious-affiliated child care facilities/schools from providing immunization verifications.,Died in committee,Not enacted,Bad
Mississippi,MS HB 1571,1,0,0,Would expand non-medical vaccination exemptions.,Died in committee,Not enacted,Bad
Mississippi,MS HB 1422,1,0,0,"Would address ""vaccine discrimination"" by healthcare providers, insurance companies, employers, and schools.",Died in committee,Not enacted,Bad
Mississippi,MS HB 1516,1,0,0,Would establish parents' bill of rights.,Died in committee,Not enacted,Bad
Mississippi,MS HB 1506,1,0,0,Would expand non-medical exemptions to include philosophical and conscientious exemptions.,"Introduced 2023-24, not enacted",Not enacted,Bad
Missouri,MO HB 1195,1,0,0,Would restrict pharmacists from ordering and administrating some childhood vaccines.,Died in committee,Not enacted,Bad
Missouri,MO HB 943,,0,1,Would require pediatricians to administer hepatitis B vaccines to infants vulnerable to disease and would limit ability of pharmacists to administer childhood vaccines,Died in chamber. I thought the hepatitis B part of this was interesting.,Not enacted,Good
Missouri,MO SB 374,1,0,1,Would allow dentists to administer vaccines to their patients.,Died in committee,Not enacted,Good
