state,bill_number,1_include_in_brief,1_enacted_0_not_enacted,1_good_0_bad,text_description,comments,bill_status,bill_valency
Alabama,AL SB 59,0,1,1,Allows dependents of military members to use military medical records as evidence of immunization receipt (instead of the routine state Blue Card process,NA,Enacted,Good
Alabama,AL HB 444,1,0,0,"Allows religious exemptions from immunization requirements for students attending religiously affiliated private schools, with documentation provided by a caregiver",NA,Not enacted,Bad
Alabama,AL HB 367,1,0,0,Prohibits governmental entities and county health departments from using public funds to produce or distribute materials that promote vaccination,NA,Not enacted,Bad
Alabama,AL SB 85,1,0,0,Specifies that religious exemptions to immunization requirements are permitted with a written declaration from a parent or guardian,NA,Not enacted,Bad
Alabama,NA,NA,NA,NA,NA,NA,Not enacted,Bad
Alaska,AK SB 147,0,0,1,Permits pharmacists to prescribe and administer vaccines,NA,Not enacted,Good
Alaska,AK HB 238,1,0,0,"Allows parents or guardians to exempt their minor children from school immunization requirements by submitting a signed statement citing religious, medical, or philosophical objections",,Not enacted,Bad
Arizona,AZ HB 2257,0,0,0,Prohibits using one's vaccination status when making foster care placement decisions,NA,Not enacted,Bad
Arizona,AZ HB 2514,1,1,0,"Outlines a Parental Bill of Rights, including a provision that emphasizes parents' right to exempt their children from immunizations",NA,Enacted,Bad
Arizona,AZ HB 2063,1,0,0,Would require that communications regarding school vaccine mandates include information on the process for obtaining exemptions,NA,Not enacted,Bad
Arizona,AZ SB 1668,1,0,1,Codifies the requirement that insurers fully cover all vaccines recommended by the Advisory Committee on Immunization Practices (ACIP),NA,Not enacted,Good
Arizona,AZ SB 1663,1,0,1,"Proposed expanding the state's immunization reporting system, currently focused on child immunization data, to routinely collect information on adult immunizations",NA,Not enacted,Good
Arkansas,AR HB 1131,0,1,1,Allows registered nurses to delegate vaccinating authority to medical assistants,NA,Enacted,Good
Arkansas,AR HB 1132,0,1,1,Requires that any school parental communications about vaccines also include information about type 1 and type 2 diabetes,NA,Enacted,Good
Arkansas,AR HB 1619,1,1,1,"Requires the state Medicaid program to reimburse providers for administering RSV immunizations at the same rate as the Vaccines for Children (VFC) program, and prohibits civil liability against providers who administer these immunizations",NA,Not enacted,Good
Arkansas,AR SB 6,1,0,0,"Allow pharmaceutical company officers to be held criminally liable for ""vaccine harm""",NA,Not enacted,Bad
Arkansas,AR HB 1135,0,1,1,Allows dependents of military members to use military medical records as evidence of immunization receipt (instead of the routine state Blue Card process,NA,Enacted,Good
California,CA SB 290,1,0,0,Repeals the requirement that children must be immunized in order to receive CalWORKs benefits,NA,Not enacted,Bad
California,CA AB 2101,1,0,1,Establishes a state stockpile of vaccines,NA,Not enacted,Good
California,CA SB 957,1,0,1,Establishes the inclusion of sexual orientation and gender identity data within the State Immunization Information System (IIS),NA,Not enacted,Good
Colorado,CO SB 196,1,1,1,"Specifies that if the Advisory Committee on Immunization Practices (ACIP) is repealed, modified, or otherwise ceases to operate, the commissioner of insurance retains the authority to require vaccine coverage by insurers",NA,Enacted,Good
Colorado,CO HB 1027,1,1,1,"Directs the State Board of Health to consider vaccination recommendations from the American Academy of Pediatrics (AAP) and other professional organizations, in addition to those from the Advisory Committee on Immunization Practices (ACIP), when establishing immunization requirements; Includes additional changes to school immunization provisions",NA,Enacted,Good
Connecticut,AR HB 1141,NA,0,1,Study pharmacist compensation for vaccine administration,NA,Not enacted,Good
Connecticut,CT SB 526,1,0,0,"Would expand exemptions to state-mandated vaccination laws for school-aged children to allow philosophical exemptions based on personal, moral, or other beliefs",,Not enacted,Bad
Connecticut,CT HB 6174,1,0,0,Would allow students to recover actual and punitive damages for injuries or illnesses caused by a vaccination program if the state required the student to receive the vaccine as a condition of school admission,,Not enacted,Bad
Connecticut,CT HB 6581,1,0,1,"Would authorize pharmacists to administer vaccines to children, regardless of age",NA,Not enacted,Good
Connecticut,CT HB 6614,1,0,0,Would reestablish religious exemptions for school vaccination requirements,NA,Not enacted,Bad
Connecticut,CT HB 6550,1,0,1,Would establish an annual public education campaign to inform residents about free and low-cost vaccines,NA,Not enacted,Good
