State,Imported,Local,Total,Recent 2 Weeks,2025,2026
U.S.,259,4840,5099,321,2286,2813
South Carolina,7,997,1004,0,333,671
Texas,8,986,994,0,803,191
Utah,0,715,715,0,197,518
Pennsylvania,8,386,394,152,16,378
Arizona,4,340,344,0,222,122
Virginia,2,180,182,0,5,177
Florida,13,135,148,0,7,141
Ohio,8,136,144,54,45,99
New Mexico,1,117,118,0,100,18
Kansas,0,92,92,0,91,1
California,35,48,83,1,25,58
Wisconsin,11,68,79,41,36,43
New York,6,70,76,11,48,28
North Dakota,6,68,74,0,36,38
Washington,17,50,67,2,12,55
Colorado,14,46,60,0,36,24
Oregon,1,46,47,7,1,46
Michigan,8,38,46,1,30,16
Minnesota,14,29,43,0,26,17
Montana,7,34,41,0,36,5
Kentucky,3,35,38,20,14,24
South Dakota,19,8,27,0,16,11
Idaho,2,24,26,0,15,11
Iowa,3,22,25,15,9,16
North Carolina,5,20,25,0,3,22
Delaware,0,22,22,14,0,22
Wyoming,2,19,21,0,15,6
Maryland,14,6,20,1,3,17
Illinois,3,15,18,0,14,4
Oklahoma,0,18,18,0,17,1
Georgia,7,10,17,2,10,7
Indiana,1,12,13,0,11,2
New Jersey,5,7,12,0,11,1
Tennessee,0,11,11,0,8,3
Arkansas,2,6,8,0,8,0
Missouri,1,7,8,0,7,1
Nebraska,2,4,6,0,3,3
Maine,1,4,5,0,0,5
Alaska,3,1,4,0,4,0
Louisiana,3,1,4,0,3,1
Connecticut,1,2,3,0,1,2
Hawaii,3,0,3,0,2,1
Rhode Island,3,0,3,0,1,2
Vermont,2,1,3,0,2,1
District of Columbia,1,1,2,0,1,1
Massachusetts,2,0,2,0,0,2
Nevada,0,2,2,0,2,0
Alabama,1,0,1,0,1,0
West Virginia,0,1,1,0,0,1
